stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,3,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0
 24-34,0,0,0,0,0,0,5.75,0,0,0,0,10.67,0,0.82,0,0,0,9.03,0,0.82,0,0,0,0,0,1.64,0,0,1.64
 36-46,0,0,0,0,0,0,6.45,0,0,0,0,41.09,0,0.81,0,0,0,14.5,0,0,0,0,0,0,0,3.22,0,0,9.67
 48-58,0,0,0,0.57,0,0,18.36,0,1.15,0,0,63.12,0,4.02,3.44,0,0.57,25.25,0,0,1.15,0,0,0,0,2.87,0,0,29.84
 60-70,0,0,0,0,0,0,24.54,0.98,0.98,0,0,126.62,0,2.94,2.94,0,0,23.56,0,1.96,0.98,0,0,1.96,0,3.93,0,0,27.48
 72-82,0,0,0,0.98,0.98,0,12.76,0,3.93,0.98,0,123.69,0,0.98,5.89,0.98,0,24.54,0,0.98,0.98,0,0,0.98,0.98,2.94,0,0.98,27.49
 84-94,0,0,0,1.06,1.06,0,14.87,0,1.06,0,0,157.18,1.06,0,5.31,0,1.06,12.74,0,0,0,0,0,3.19,0,0,0,1.06,9.56
 96-106,0,0,1.09,1.09,1.09,1.09,10.93,1.09,2.19,0,1.09,134.42,1.09,0,3.28,0,0,6.56,2.19,1.09,0,0,0,3.28,1.09,1.09,1.09,0,15.3
108-118,0,0,0,2.3,0,0,4.6,0.77,0,0,0,189.96,0.77,0,3.83,0,0,6.89,0,0,0.77,0,0.77,0,0,0,0,0,9.19
120,0,0,0,0,0,0,9.8,0,1.96,0,0,113.67,0,0,1.96,0,0,3.92,0,3.92,0,0,0,0,0,0,0,0,3.92
