stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,7.89,0,0,26.29,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,34.62,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,110.14,12.59,0,0,122.73,0,3.15,0,3.15,6.29,0,0,0,0,0,0,0
 14-21,0,0,2,2,44,14,0,7,0,0,0,3,0,0,0,0,3,0,0,0,26,0,0,13,175,16,2,46,15,0,14,1,116,1,2,67,46,0,0,2,0
 24-34,0,0,0.82,0,9.85,0,0,7.39,0,0,0,0.82,0,0,0,6.57,0,0,0,0,29.55,0,0,9.85,140.37,0,3.28,6.57,0,0,9.03,0,0.82,0,0,14.78,41.86,0,0,9.85,0
 36-46,0,0,0,0,3.22,0,0,10.47,0.81,1.61,0,7.25,1.61,0,1.61,5.64,0,0.81,0.81,0.81,33.84,0,0,8.06,87.82,0.81,4.03,0.81,0,0,7.25,0.81,0,0.81,0,0,34.64,0,0,0.81,0
 48-58,0,0,0.57,0,2.87,0,0,26.4,0,1.15,1.15,8.03,0,0,1.15,6.31,0,0.57,0.57,0,43.04,1.15,1.15,2.87,61.4,0,3.44,1.15,0,0,5.74,0,0,0,0,0,19.51,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,24.54,0,0,1.96,6.87,0,0,0.98,5.89,0,0,0,0,27.48,0,0,1.96,43.19,0,2.94,0.98,0,0,5.89,0,0,0,0,0,7.85,0,0,3.93,0
 72-82,0,0,0.98,0,4.91,1.96,0.98,29.45,0.98,0,0,16.69,0.98,0,0,8.83,0,0,1.96,3.93,29.45,0,0.98,3.93,51.05,0,2.94,3.93,0,0,7.85,0,0,0,0,0,8.83,0,1.96,6.87,0
 84-94,0,0,1.06,0,6.37,1.06,0,13.81,0,2.12,1.06,2.12,4.25,0,1.06,9.56,1.06,0,1.06,1.06,23.36,0,1.06,2.12,24.43,0,2.12,3.19,0,0,11.68,0,0,0,0,0,0,0,3.19,8.5,1.06
 96-106,0,0,1.09,0,5.46,1.09,1.09,15.3,1.09,2.19,1.09,9.84,2.19,0,0,22.95,0,1.09,1.09,2.19,14.21,0,2.19,1.09,25.14,0,3.28,1.09,0,1.09,6.56,0,0,1.09,0,0,2.19,0,1.09,8.74,1.09
108-118,0,0,0.77,0,10.72,1.53,0.77,10.72,0,0.77,0,1.53,3.83,0,0,23.74,0,0.77,0.77,4.6,20.68,1.53,0.77,3.83,19.92,0,0.77,1.53,0,0,6.89,0,0,1.53,0.77,0,1.53,3.06,0,6.13,0
120,0,0,0,0,11.76,5.88,0,5.88,0,1.96,1.96,7.84,3.92,0,1.96,19.6,3.92,0,1.96,0,13.72,1.96,1.96,0,29.4,0,0,5.88,0,0,15.68,0,0,0,0,0,0,0,0,11.76,0
