stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,42,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6,15,19,0,0,0,0,0,14,306,656,1,0,0,0
 24-34,0,0,104.25,0.82,1.64,13.95,0,0,0.82,0,0,0,0,0,0,1.64,0,0,2.46,0,0,15.6,54.18,4.93,0.82,0,0,0.82,0,0.82,140.37,247.9,9.03,0,0.82,0
 36-46,0,0,48.34,0,3.22,23.36,0,0,0,0,0,0,0,0,0,0,0,0,5.64,0.81,0,22.56,56.4,2.42,0,0.81,0,1.61,0.81,0,84.6,9.67,3.22,0,0.81,0
 48-58,0,0,40.74,0,10.9,20.08,0,0,1.72,0,0,0,0.57,0,0,1.15,0,0.57,5.16,0,0.57,42.46,46.48,0,0,0,0,1.72,0,0,63.12,0.57,7.46,0,0,1.15
 60-70,0,0,28.46,0,7.85,12.76,0,0,3.93,0,0,0.98,0,0,0,0,0,0,6.87,0,0,38.28,41.22,1.96,0,0,0,0,0,0.98,43.19,0,0,0,0.98,0
 72-82,0,1.96,27.49,0,13.74,12.76,0,0,1.96,0,0,0,0,0,0,0.98,0,0,10.8,0,0,55.95,68.72,0,0,0,0.98,1.96,0,0,29.45,0,1.96,0,1.96,0
 84-94,0,0,26.55,1.06,11.68,20.18,0,0,5.31,0,0,0,2.12,0,0,1.06,1.06,0,7.43,0,0,66.91,24.43,0,1.06,0,0,3.19,0,0,43.54,0,3.19,0,0,0
 96-106,0,0,21.86,2.19,16.39,21.86,1.09,0,2.19,2.19,1.09,0,2.19,0,0,1.09,0,0,19.67,0,1.09,73.22,43.71,0,0,0,1.09,5.46,0,0,36.06,0,0,0,1.09,0
108-118,0,0,13.79,0.77,6.89,27.57,0.77,0.77,2.3,0.77,0,0,0,0.77,0.77,0,0,0,6.13,0,0,103.41,49.79,0.77,0.77,0,0,2.3,0,0,42.89,0,0.77,0.77,1.53,0
120,0,0,9.8,1.96,9.8,35.28,0,0,0,0,0,0,0,0,0,1.96,0,0,3.92,0,1.96,123.47,47.03,0,0,1.96,0,1.96,0,1.96,15.68,0,0,0,0,0
