stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,6.29,0,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,6,12,29,39,0,8,0,0,0,1,3,6,0,1,0,0,1,0,92,0,0,28,117,0,0,1,1,0,5,5,2,2,0,3,43,0,0,19,0,0
 24-34,0,0,9.03,23.8,59.1,8.21,0,17.24,0,2.46,4.1,5.75,19.7,6.57,0.82,3.28,1.64,0,4.93,0,153.5,1.64,0,47.61,317.67,1.64,9.03,2.46,0,0.82,26.27,0.82,0,16.42,0,4.93,118.2,0,0,100.97,0,7.39
 36-46,0,0,4.83,1.61,33.03,2.42,0,13.7,0,0.81,17.72,9.67,12.89,11.28,0,0.81,0,0,7.25,0,206.25,0.81,4.83,83.79,400.42,0.81,9.67,1.61,0,0.81,20.95,4.03,0,12.89,0.81,0,139.38,0,1.61,32.23,0.81,3.22
 48-58,0,0,3.44,0,13.77,0,0,30.99,0,2.87,36.72,29.26,13.77,10.33,0.57,0.57,1.15,0.57,8.03,2.3,184.19,1.15,0.57,52.79,456.17,0.57,9.18,2.3,0,0,16.64,0,0,9.75,0.57,0,124.52,0,0,43.04,0,5.16
 60-70,0,0,2.94,0,32.39,0,1.96,47.11,0,4.91,54.97,70.67,6.87,6.87,0,2.94,1.96,1.96,22.58,0,278.75,0.98,1.96,29.45,625.23,0.98,15.7,1.96,0,0.98,19.63,0.98,0,4.91,0,0,92.26,0.98,5.89,35.33,0.98,3.93
 72-82,0,0,13.74,1.96,44.17,3.93,29.45,180.63,1.96,2.94,107.98,179.64,39.27,7.85,2.94,5.89,0,2.94,87.37,0.98,507.52,1.96,9.82,47.12,958.1,0.98,28.47,5.89,0,2.94,14.72,0.98,0,16.69,0,0,91.29,1.96,15.71,53.01,16.69,4.91
 84-94,0,0,20.18,0,65.85,1.06,48.85,184.79,1.06,10.62,83.9,104.08,63.72,7.43,2.12,10.62,2.12,4.25,278.25,0,379.15,3.19,9.56,32.92,517.21,1.06,26.55,7.43,0,1.06,37.17,0,0,32.92,1.06,0,81.78,5.31,10.62,44.61,5.31,1.06
 96-106,0,0,27.32,2.19,122.4,7.65,40.44,255.73,1.09,21.86,73.22,239.33,131.14,16.39,14.21,18.58,1.09,5.46,528.94,0,640.41,0,10.93,39.34,734.39,2.19,55.74,25.14,0,9.84,53.55,1.09,0,48.09,0,0,50.27,18.58,16.39,72.13,17.49,3.28
108-118,0,0,25.28,3.06,163.92,3.06,46.72,210.64,1.53,30.64,88.09,202.98,226.73,13.02,5.36,22.21,3.06,1.53,1102.22,3.06,692.43,3.83,6.13,58.98,1142.82,3.83,44.43,25.28,0,6.13,60.51,1.53,0,78.89,3.83,0,61.28,19.92,10.72,70.47,9.19,6.89
120,1.96,0,21.56,0,231.25,13.72,33.32,197.94,1.96,35.28,117.59,282.21,225.38,17.64,17.64,17.64,1.96,7.84,660.45,1.96,772.16,3.92,9.8,54.87,1430.64,7.84,29.4,39.2,0,11.76,131.31,1.96,1.96,62.71,0,0,66.63,13.72,13.72,97.99,3.92,0
