stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,30.65,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,18.39,0,0,0,0,0,0,0
  7-9,5.26,0,5.26,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,120.92,2.63,0,0,39.43,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,1,1,0,1,1,3,4,0,0,0
 24-34,0,0,0,1.64,0,2.46,0.82,0,0,0,0,0.82,0,0.82,0,2.46,0,0,16.42,0,0,0,0,4.1,0,0,1.64,2.46,0.82,0,0.82
 36-46,0,0,0,1.61,0,4.03,0,0,0,0,0,0,0.81,0,0,3.22,0,0.81,6.45,0,0.81,0,0,1.61,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,0,18.36,0,0,1.72,0,0,0,0,0,0,4.59,1.15,0,10.33,0,0,0,0,2.3,0,0,0,2.3,0.57,0,0
 60-70,0,0,0,0,0,10.8,0,0,0,0,0,0,0.98,0,0,1.96,0,0.98,4.91,0,0,0,0,0.98,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,5.89,0,0.98,0,0,0,0,0.98,0,0,3.93,0,0,5.89,0,0,0,0,2.94,0,0,0,0.98,0.98,0.98,2.94
 84-94,0,0,0,0,0,3.19,1.06,0,1.06,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,7.65,0,0,1.09,0,0,0,1.09,0,0,3.28,0,0,3.28,0,0,1.09,0,3.28,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.3,0,0,0,1.53,0,0,0.77,0,0.77,0.77,0,0.77,3.06,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,3.92,1.96,3.92,0,0,1.96,0,0,0,3.92,0,0,1.96,1.96,0,1.96,0,0,0,0,3.92,0,1.96,0,0,0,0,0
