stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,2,5,1,0,0,0,0,0,0,8,0,7,9,2,0,0,3,0,1,2,4,1,0,0
 24-34,0,0.82,0,2.46,0,0,0.82,1.64,4.1,0,10.67,0,8.21,20.52,0.82,0,2.46,0,0,0,0.82,4.1,0.82,0,0
 36-46,0,0.81,0,5.64,0,0.81,0.81,0,2.42,0,16.11,0,7.25,15.31,2.42,0,0,0,0,0,0,2.42,1.61,0,0
 48-58,0,0.57,0,1.15,0,0.57,0,0,6.31,0,12.05,0.57,3.44,5.74,0,0,0,0,0,0,0,1.72,1.15,0,0
 60-70,0,0,0,5.89,0,0.98,0.98,0,6.87,0,24.54,0,0.98,11.78,0,0,0.98,0,0.98,0,0,1.96,0.98,0,0.98
 72-82,0,0,0,6.87,0,0.98,1.96,0,25.52,0,25.52,0.98,0,12.76,0,0,0.98,0,0,0,0,0.98,0,0,0
 84-94,0,0,1.06,3.19,0,0,1.06,0,40.36,0,12.74,0,2.12,5.31,0,0,1.06,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,2.19,0,1.09,1.09,0,39.34,0,9.84,0,0,4.37,1.09,0,1.09,0,0,0,0,0,1.09,1.09,0
108-118,0,0.77,0,3.83,0.77,0.77,1.53,0,26.81,0.77,12.26,0,0.77,3.83,0.77,0,0,0,0,0,0,0,1.53,0,0
120,0,3.92,0,0,0,1.96,1.96,0,25.48,0,3.92,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0
