stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,7,0,0,0,0,0,1,2,0,0
 24-34,0,0,0,1.64,0,0,0,0,0.82,0,0,0,0.82,0,2.46,0,2.46,8.21,0,0,0,0,0.82,0.82,0.82,0,3.28
 36-46,0,0,0,0,0,0,0.81,0,0,0.81,0,0,2.42,0,7.25,0,1.61,8.06,0,0.81,0,0,0,0,0.81,0,1.61
 48-58,0,0,0,0.57,0,0,2.3,0,0,1.72,0,0,4.02,0,5.16,1.72,1.72,8.03,0.57,0,0,0,0,0,1.15,0,1.72
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,1.96,0.98,2.94,0,1.96,4.91,0,0,0,0,0,0,0,0.98,1.96
 72-82,0,0,0.98,1.96,0,0,2.94,0,0,3.93,0,1.96,5.89,0,9.82,0.98,0,4.91,0.98,0,0,0,0,0,0,0,2.94
 84-94,0,0,0,2.12,0,0,1.06,2.12,0,0,0,0,4.25,0,14.87,3.19,1.06,8.5,1.06,0,0,1.06,0,0,2.12,0,2.12
 96-106,0,0,0,0,1.09,0,2.19,0,0,0,0,0,5.46,0,4.37,1.09,0,1.09,0,0,0,0,2.19,0,0,0,1.09
108-118,0,0,0,0.77,0,0.77,0,0,0.77,0,0,0.77,6.89,0,3.06,0.77,0.77,3.83,0,0,0,0,0.77,0,0,0,1.53
120,0,0,0,0,0,0,0,0,0,0,0,0,13.72,0,9.8,0,0,3.92,1.96,0,0,0,0,0,0,0,1.96
