stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,11,8,0,0,1,0,0,0,0,0,7,0,0,0,93,0,0,0,0,0,55,0,0,0
 24-34,0,0,0,4.1,0.82,0,9.85,0,1.64,0.82,0,0,8.21,0,1.64,0.82,907.05,0,0,0.82,2.46,0.82,308.64,0,0,0
 36-46,0,0,0,0,0,0,24.17,0.81,0,0,0,0,1.61,0.81,2.42,0.81,746.86,0.81,0.81,0,2.42,0,306.15,0,0,0
 48-58,0,0,0,0.57,0,0,52.22,0,2.3,0,0,0,0.57,0,5.16,1.15,363.22,0,0.57,0,0.57,0,127.38,0,0.57,0.57
 60-70,0,0,0,2.94,0,0,56.93,0,0.98,0,0,0,0,0,0.98,0,269.92,0,0,0,1.96,0,50.06,0,0,0
 72-82,0,0.98,0,0,0.98,0,36.32,0,2.94,0,0,0,0.98,0,5.89,0.98,227.75,0,0,0,0,0,32.39,0,0.98,0.98
 84-94,0,0,0,0,0,0,27.61,0,3.19,0,1.06,2.12,0,0,2.12,0,105.14,0,0,0,3.19,0,15.93,0,0,0
 96-106,0,1.09,1.09,2.19,1.09,0,22.95,0,2.19,1.09,0,0,4.37,0,4.37,1.09,107.1,0,0,1.09,0,0,9.84,1.09,0,0
108-118,0,0,0.77,0,0,0,22.21,0.77,8.43,0,0,0,0,0,3.06,0,147.06,0,0,0,0,0,9.19,0,0,0.77
120,0,0,0,1.96,0,1.96,27.44,0,5.88,0,0,0,1.96,0,1.96,0,146.98,0,0,0,1.96,0,15.68,0,1.96,0
