stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,7.89,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520.49,13.14,0,0,76.23,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,9.44,0,3.15,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881.15,0,0,0,53.5,0,0,3.15,0,9.44,0,0,6.29,0,0,0
 14-21,0,0,0,2,112,5,0,78,0,0,0,18,5,0,1,0,0,0,2,18,0,0,51,174,84,1,5,4,0,0,0,15,2,1,61,93,0,3,0
 24-34,0,0,0,3.28,24.63,0,0,36.94,0.82,0,0,21.34,0.82,0,0,0,1.64,0,5.75,43.51,0,0,78.8,125.59,2.46,1.64,3.28,0,0,0,0,1.64,0,1.64,7.39,91.12,0,7.39,2.46
 36-46,0,0,0,0.81,6.45,0,0,49.15,0,0,0,20.14,0,0,0,0,4.83,0,10.47,39.48,0,0,63.65,88.62,0.81,0.81,0.81,0,0,0,0,0,0,0,0,126.49,0,6.45,0
 48-58,0,0,0,1.15,8.61,0,0,28.12,0,0,0,10.9,0.57,0.57,0.57,1.15,1.72,0,2.87,35.58,0,0,29.84,87.22,0,0.57,1.15,0,0.57,1.15,0,0,0,0.57,0,103.86,0,2.3,0
 60-70,0,0,0,0,11.78,0,0,9.82,0,0.98,0,26.5,4.91,0,0,1.96,4.91,0,0.98,25.52,0,0,9.82,34.35,1.96,0,1.96,0,0.98,0,0,0,0,0,0,47.11,0,0,0
 72-82,0,0,0,0,7.85,0,0,8.83,0,0,0,38.28,3.93,0,0.98,3.93,10.8,0,0,30.43,0,0,5.89,39.27,1.96,0,2.94,0,1.96,0.98,0,0,0,0,0,10.8,0,0,0
 84-94,0,0,0,0,10.62,0,0,14.87,0,0,0,22.3,7.43,0,1.06,6.37,6.37,0,0,25.49,0,2.12,18.05,33.99,3.19,0,3.19,0,1.06,2.12,0,0,0,0,0,21.24,0,0,0
 96-106,0,0,0,0,18.58,0,0,20.76,0,0,0,28.41,2.19,0,1.09,5.46,15.3,0,0,13.11,0,0,5.46,25.14,9.84,0,4.37,0,2.19,1.09,0,0,0,0,0,6.56,1.09,1.09,0
108-118,0,0,0.77,0,4.6,0,0.77,4.6,0,0,0,19.15,3.06,0,0,7.66,6.13,0.77,0,7.66,0,0,3.06,20.68,3.06,1.53,3.06,0,1.53,0,0,0,0,0,0,2.3,0,0,0
120,0,0,0,0,3.92,0,0,11.76,0,0,1.96,21.56,3.92,0,0,3.92,3.92,0,0,5.88,1.96,0,3.92,7.84,7.84,0,1.96,0,1.96,0,0,0,0,0,0,7.84,0,0,0
