stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0.57,0.57,0.57,0,3.44,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0.98,0.98,1.96,0,1.96,0,0,0,0,0,0
 72-82,0,0,1.96,0,0,0,0,1.96,0.98,0.98,0,3.93,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,24.43,0,2.12,0,5.31,0,0,0,0,0,0
 96-106,0,1.09,2.19,1.09,1.09,2.19,1.09,126.77,3.28,19.67,0,2.19,0,3.28,0,0,1.09,1.09
108-118,0,2.3,2.3,0.77,3.06,0,0.77,270.38,3.83,9.19,0.77,3.06,0,0.77,0.77,0,0,0.77
120,0,0,1.96,0,0,0,0,107.79,1.96,3.92,0,0,1.96,1.96,0,0,0,0
