stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,4,0,0,0,0,0
 24-34,0,0.82,1.64,0,0,3.28,0.82,0.82,0,0,0.82,0,0,0.82,0,0,0,0,2.46,0,0,0,13.95,0,0,0,0,1.64,2.46,1.64,0.82,9.85,0,0,1.64,0,0.82
 36-46,0,0,0,0,0,3.22,2.42,0,0,0.81,0,0,0,0,0,0,0,0,8.86,0,0,2.42,10.47,0,0,0.81,0,2.42,0.81,2.42,0,4.83,0,0,0.81,0,0.81
 48-58,0,0,1.15,0,0,8.03,1.72,0,1.15,3.44,0,0,0,0.57,0,1.15,0,1.72,11.48,0,0,0.57,25.82,0,0,0.57,0,2.3,1.15,1.15,0,13.2,0,0,1.72,0,0.57
 60-70,0.98,0,0.98,0,0,15.7,0,1.96,0,5.89,1.96,0,0,0.98,0.98,0,0,0.98,17.67,0,0,2.94,38.28,0,0,0.98,0,3.93,1.96,3.93,0,7.85,0,0.98,0.98,0,0.98
 72-82,0,0,3.93,2.94,0,47.12,0.98,0,2.94,12.76,1.96,0,0,0.98,0.98,1.96,0.98,0,29.45,0,0.98,3.93,41.23,1.96,0,2.94,0,9.82,2.94,0,0,1.96,0,0.98,3.93,0.98,0.98
 84-94,1.06,0,8.5,1.06,0,49.92,1.06,2.12,0,6.37,1.06,0,1.06,1.06,2.12,0,1.06,0,12.74,0,1.06,3.19,21.24,0,0,1.06,0,25.49,9.56,4.25,0,5.31,3.19,1.06,4.25,1.06,0
 96-106,0,0,6.56,2.19,0,48.09,0,1.09,0,9.84,6.56,1.09,5.46,2.19,1.09,0,1.09,1.09,12.02,2.19,1.09,1.09,32.79,0,1.09,2.19,0,14.21,1.09,2.19,0,4.37,1.09,0,4.37,0,2.19
108-118,0.77,0,3.83,0.77,0.77,29.11,0.77,0.77,1.53,5.36,4.6,0.77,1.53,0.77,3.06,2.3,3.06,1.53,12.26,0,0.77,1.53,22.98,0.77,1.53,6.13,0,6.89,4.6,2.3,0,1.53,0.77,0,3.83,0,2.3
120,0,0,7.84,3.92,0,11.76,1.96,0,0,9.8,5.88,1.96,3.92,1.96,3.92,1.96,0,0,7.84,0,0,0,25.48,0,0,1.96,0,19.6,1.96,0,0,1.96,0,0,1.96,0,0
