stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,197.67,4243.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0
  5-6,159.37,2445.72,0,0,0,0,0,0,0,6.13,0,0,0,0,0,67.43,0,0,0,18.39,0,0,0,0,0
  7-9,2.63,0,5.26,0,7.89,0,0,0,0,0,0,0,0,0,0,92,0,0,60.46,0,13.14,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,31.47,0,12.59,0,0,0,0
 14-21,0,0,1,4,1,0,0,0,0,0,1,0,1,0,0,7,1,0,0,2,3,3,4,2,0
 24-34,0,0,0,1.64,4.1,0,0,0,0,0,4.1,0.82,0.82,1.64,0,4.1,0,0.82,0,3.28,0,0,0,4.93,0
 36-46,0,0,0,1.61,0,0.81,0,0,0,0,0.81,0,1.61,0,0,5.64,0,0,0,0.81,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0.57,1.15,0,0,0,0,4.02,0,1.15,2.87,0,0,0,0.57,0.57,0,0,1.15,0
 60-70,0,0,0,0,0.98,0,0.98,0.98,0,0,0,0,0.98,0,0,5.89,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,4.91,0,0,0,0.98,0.98,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,1.06,0,0,0,0,4.25,0,0,1.06,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,2.19,2.19,0,0,0,1.09,0,0,0,1.09,0,0,1.09,0,1.09,0,2.19,2.19,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0.77,0,0,0,3.06,1.53,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
