stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,193,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0
 24-34,0,0,0,0,4.93,0,0,2.46,0,0,0,1.64,0,0,0,0,1.64,0,0,0,0,5.75,0,0,0.82,32.01,91.12,0,0.82,0,0,0.82,0,0,14.78,76.34,4.93,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,19.34,0,0,0,4.83,0,0,0.81,0,0.81,0.81,0,0,0,12.89,0,1.61,7.25,70.9,46.73,0.81,0,0,0,4.03,0,0,6.45,195.78,20.14,0,0,1.61,0,0.81
 48-58,0,0,0,0,5.16,0.57,0,58.53,2.3,0.57,2.3,6.89,0.57,0.57,0,0.57,2.3,0.57,0,0,1.15,37.3,0.57,0.57,11.48,154.35,5.16,0.57,1.72,0.57,0,6.31,0,0,4.59,175.58,36.72,0,0,2.3,0,4.59
 60-70,0,0,0,0,6.87,0.98,0,46.13,11.78,0,3.93,8.83,0,0,0,0.98,1.96,0.98,0,0.98,0.98,26.5,0.98,0,6.87,72.63,10.8,0,0,0.98,0,5.89,0,0,7.85,114.84,15.7,0,0.98,1.96,1.96,1.96
 72-82,0,0,0,0,5.89,6.87,0,65.77,14.72,0.98,3.93,13.74,0,0,3.93,0.98,1.96,1.96,0.98,1.96,0,46.14,0.98,1.96,12.76,109.95,5.89,0.98,1.96,0.98,0.98,6.87,0,0,8.83,68.72,17.67,0,1.96,1.96,0,2.94
 84-94,0,0,0,0,7.43,4.25,0,54.16,24.43,3.19,1.06,14.87,0,0,3.19,2.12,0,2.12,2.12,3.19,1.06,33.99,1.06,3.19,11.68,63.72,6.37,1.06,1.06,0,2.12,11.68,0,0,19.12,126.38,13.81,2.12,0,4.25,1.06,5.31
 96-106,0,0,2.19,2.19,21.86,36.06,3.28,123.49,26.23,5.46,7.65,39.34,8.74,0,2.19,9.84,3.28,1.09,4.37,13.11,0,93.98,3.28,3.28,15.3,148.63,1.09,4.37,4.37,1.09,2.19,36.06,0,0,5.46,132.23,5.46,2.19,1.09,12.02,7.65,9.84
108-118,0,0,0.77,3.06,13.02,6.89,3.83,39.83,28.34,3.83,0.77,13.79,3.06,0,0.77,3.83,2.3,1.53,1.53,3.06,1.53,36,0.77,2.3,15.32,101.87,2.3,0.77,3.06,0,1.53,7.66,0,0,5.36,114.89,1.53,0,2.3,6.89,2.3,1.53
120,0,0,0,0,13.72,5.88,0,25.48,17.64,0,0,9.8,3.92,0,1.96,3.92,0,0,0,3.92,0,31.36,0,0,17.64,80.35,3.92,1.96,3.92,0,1.96,3.92,0,1.96,1.96,48.99,0,0,0,1.96,0,0
