stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,42.06,0,0,5.26,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,5.26,99.89,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,236.02,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,4,3,0,0,1,0,0,1,3,0,4,0,3,0,0,7,429,0,0,0,1,2,7,8,40,28,0,0,0,0
 24-34,0,0,0,0,1.64,0,0.82,0.82,0,0,0.82,0,0,0.82,4.93,0,1.64,1.64,2.46,9.03,151.86,0.82,0,0,0,0,0,1.64,12.31,31.19,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,0.81,0.81,0,0,0.81,0,0,0,2.42,0,4.83,0,2.42,14.5,103.93,0,0,0,0,0,0,4.03,0.81,29,0,0,0,0
 48-58,0,0,0,0,0,0,3.44,0,0,1.72,3.44,0,0,0,0,0,4.02,0,6.89,14.92,59.1,0,0,0,0,0,0,5.74,0,18.36,0,0,0,0
 60-70,0,0,0.98,0,0,0,3.93,1.96,0,0.98,0.98,0,0,0,0.98,0,1.96,0,3.93,3.93,29.45,0,0,0.98,0,0,0,3.93,0,11.78,0,0,0,0
 72-82,0,0,0,0,0.98,0,0.98,2.94,0,0,0.98,0,0,0,0,0,10.8,0,0.98,13.74,31.41,0,0,0,0,0,0,2.94,0,1.96,0,0,4.91,0
 84-94,1.06,0,0,0,0,0,0,2.12,0,2.12,0,0,0,0,0,0,4.25,0,1.06,3.19,41.42,0,0,0,1.06,0,0,2.12,0,5.31,1.06,0,0,0
 96-106,0,0,0,0,0,0,1.09,2.19,0,2.19,0,1.09,0,0,0,0,3.28,0,3.28,5.46,33.88,0,0,0,0,0,0,2.19,0,4.37,1.09,0,1.09,1.09
108-118,0,0,0,0,1.53,0,2.3,2.3,0.77,0.77,1.53,0,0,0,0,0,1.53,0,3.06,9.19,38.3,0,0,0,0,0,0,0.77,0,0.77,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0,1.96,3.92,37.24,0,0,0,0,0,0,0,0,1.96,0,0,0,0
