stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,1976.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,557.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,7.89,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,15.73,0,6.29,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,2,0,0,0,0,0,0,1,0,0,2,0,2,9,3,3,0,0,1,1,11,1,115,175,2,0,0,0,0,0
 24-34,0,0,0.82,2.46,0,0,3.28,0,0,0.82,0,0,0,0,0,0.82,3.28,0,4.1,13.95,0.82,0.82,0,0,0,0,0,0,7.39,13.95,4.93,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0,0,0,4.83,1.61,2.42,8.86,0.81,0.81,0,0,0.81,0,0,0,1.61,0,5.64,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.3,0,0,0.57,0,0,0.57,0,0,0,6.89,2.3,1.72,3.44,0,0.57,0.57,0,0,0,0,0,0,0,2.3,0,0.57,0,0,0.57
 60-70,0,0,0,0.98,0,0,11.78,0.98,0,0.98,0,0,0,0,0,0,9.82,3.93,2.94,9.82,0,1.96,0,0,0,0,0,0,0,0,2.94,0,0.98,0,0,0
 72-82,0,0,0.98,0,0,0,12.76,0,0,1.96,0,0.98,0.98,0,0.98,0,11.78,0.98,0.98,13.74,0,1.96,0.98,0,0,0.98,0,0,0,0,1.96,0,0,0,1.96,0
 84-94,0,0,0,2.12,0,0,5.31,3.19,1.06,1.06,0,0,2.12,0,0,1.06,5.31,1.06,3.19,5.31,0,1.06,1.06,0,0,0,0,0,0,0,0,0,1.06,0,4.25,0
 96-106,0,0,0,2.19,0,0,3.28,1.09,0,2.19,0,0,1.09,0,0,1.09,6.56,1.09,1.09,8.74,0,2.19,0,0,0,0,0,0,0,0,1.09,1.09,0,0,1.09,0
108-118,0,0,0,0.77,0.77,0.77,6.89,0,0,1.53,1.53,0.77,0,0,0,0,9.19,0.77,2.3,12.26,0.77,2.3,0,0,0,0.77,0,1.53,0.77,0,0,0,0.77,0.77,0,0
120,0,0,0,3.92,0,0,7.84,5.88,0,0,1.96,0,1.96,0,1.96,0,9.8,0,3.92,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
