stage,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,8,1,0,0,0,0,0,0,0,0,2,0,3,34,0,0,0,0,1,6,13,0,0,0,0,0
 24-34,0,4.1,2.46,0,0,1.64,0,0.82,0,0,0,9.85,0,2.46,141.19,0,0,0,0.82,0,0,36.12,0,0,1.64,0,0
 36-46,0,0.81,4.83,0,0,3.22,0,0,0,0,0,11.28,0,2.42,146.63,0,0.81,0,2.42,0,0,27.39,0,0,0.81,0,0
 48-58,0,2.87,14.92,0,0.57,7.46,0,0,0.57,1.15,0,24.1,1.15,3.44,245.01,0.57,0,0,0,0,0,58.53,0,0.57,2.3,0,0
 60-70,0,3.93,36.32,0,0,9.82,0.98,0,0,0.98,0,18.65,2.94,0,161.95,0.98,0,0,1.96,0,0,24.54,0,0,1.96,0,0
 72-82,0,0,27.49,0,0,8.83,0,0,0,2.94,0,33.38,0.98,0,95.22,0,0,0,0.98,0,0,13.74,1.96,1.96,0.98,1.96,0.98
 84-94,0,5.31,18.05,1.06,0,6.37,1.06,0,0,0,0,14.87,0,3.19,39.3,0,0,0,0,0,0,6.37,0,0,1.06,0,0
 96-106,0,0,13.11,0,0,2.19,0,0,0,1.09,1.09,15.3,0,2.19,37.16,0,1.09,0,0,0,0,2.19,0,0,1.09,2.19,0
108-118,0,4.6,4.6,0.77,0,3.06,0,0,0,0,0,13.79,1.53,0.77,38.3,0,0,0.77,0,0,0,1.53,0,0,2.3,0.77,0
120,0,7.84,19.6,0,0,5.88,0,0,1.96,1.96,0,11.76,1.96,1.96,50.95,0,0,0,0,0,0,0,0,0,0,3.92,0
