stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,71,7,0,5,0,0,1,2,0,0,3,0,0,0,0,5,0,0,8,181,2,5,4,7,0,8,1,37,3,7,45,50,0,0,0,0,0
 24-34,0.82,0,4.93,0,0,11.49,0.82,0,0,0,0,0,0,0,1.64,0,0,3.28,0.82,0,0.82,311.93,0,12.31,9.03,0,0,23.8,0,0,0.82,1.64,1.64,77.98,0,0,0.82,0,0
 36-46,0.81,0,0.81,0,0,33.84,0,0.81,1.61,0,0,0,0,0.81,0.81,0,1.61,3.22,0,0,0,702.54,0,21.75,4.03,0,0,2.42,0,0,1.61,0,0,147.44,0,0,0.81,0,0.81
 48-58,2.3,0,4.59,0.57,0,168.12,1.72,0.57,8.03,0,1.15,0,0,0.57,2.87,2.87,0.57,6.89,0,0,4.02,943.91,0.57,10.9,10.9,0,0.57,0.57,0,0,0,0.57,0,145.75,0,0.57,1.15,0,1.15
 60-70,0.98,0,0.98,0,0,417.15,0,0,35.33,1.96,0,0,0.98,0,4.91,0,0,7.85,0,0,0,1280.89,0,13.74,18.65,0,0,4.91,0,0,0,0,0,165.88,0,0,2.94,0,0.98
 72-82,12.76,0,11.78,3.93,0,800.05,0,1.96,66.75,4.91,0.98,3.93,0,0,13.74,0,0.98,26.5,0,0.98,1.96,1406.72,1.96,21.6,43.19,0,2.94,4.91,0,0,0.98,0,0,101.11,1.96,0,4.91,0,1.96
 84-94,5.31,0,14.87,2.12,1.06,473.67,0,0,43.54,6.37,0,3.19,0,1.06,13.81,0,0,21.24,0,0,1.06,713.69,1.06,11.68,58.41,0,0,3.19,0,0,4.25,0,0,54.16,1.06,0,2.12,0,2.12
 96-106,6.56,0,14.21,7.65,0,488.5,0,1.09,64.48,8.74,0,4.37,0,3.28,31.69,1.09,2.19,19.67,0,3.28,3.28,613.09,0,24.04,64.48,0,0,10.93,0,0,2.19,0,0,34.97,4.37,0,4.37,2.19,2.19
108-118,1.53,0,9.96,3.83,0,364.6,0.77,1.53,50.55,1.53,0,4.6,0,2.3,21.45,0.77,0.77,22.21,0,0,0.77,705.45,1.53,13.02,42.89,0,0,6.13,0,0,1.53,0,0,18.38,3.83,0,3.06,0.77,1.53
120,0,0,15.68,1.96,0,262.61,0,0,58.79,1.96,0,3.92,1.96,1.96,21.56,1.96,0,13.72,0,1.96,1.96,779.99,1.96,15.68,47.03,0,0,3.92,0,0,1.96,0,0,19.6,0,0,0,0,0
