stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,4,1,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0.82,0.82,8.21,0,0.82,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,1.61,0.81,4.03,0,0,0,0,0,0,0,1.61,0,0,0.81
 48-58,0,0,0,0,0,0.57,0,0,0,0.57,0,0.57,0,0.57,4.02,1.72,1.15,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,3.93,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0.98,0.98,0,0,0,0,0,2.94,0,2.94,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,1.06,0,0,1.06,0,1.06,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,4.37,2.19,2.19,0,0,2.19,0,0,0,0,0,0,1.09,0
108-118,0,0,0,1.53,0,1.53,1.53,0,0,0,0,0,0,0,0.77,0,1.53,0,0,0,0,3.06,0,0,0,0,0,0
120,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,0
