stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,22.03,0,0,0,0,0,0,0
 14-21,0,0,2,2,48,1,0,0,1,1,0,0,0,18,0,14,9,0,0,1,0,0,1,3,1,2,5,0,14,0,0
 24-34,0,4.1,0,1.64,4.1,2.46,0.82,7.39,0,2.46,0,0,0,51.71,0,28.73,58.28,0,8.21,0.82,0,0,0,0,2.46,0.82,20.52,0,50.07,0,0.82
 36-46,0,0,0,0,1.61,19.34,2.42,0.81,0,2.42,0,0,0,66.87,0,35.45,95.07,0,7.25,0.81,0,0,0.81,0,0,0,11.28,0,35.45,0,0
 48-58,0,0,0,0,0,16.64,2.87,2.3,0,1.15,0,0,0,54.51,0,16.07,108.45,0.57,2.3,0,0,0,0,0,0,0,12.62,0,18.36,0,1.15
 60-70,0,0.98,0,0.98,0.98,22.58,0,16.69,0,4.91,0.98,0,0,82.45,0.98,11.78,231.64,0,4.91,0,0,1.96,0,0,0,0,10.8,2.94,19.63,0.98,0
 72-82,0,2.94,0,2.94,4.91,34.36,0,10.8,0,1.96,0.98,0,0,72.64,2.94,15.71,162.96,0,1.96,0,0,0,0,0,0,0,2.94,4.91,30.43,0.98,0
 84-94,0,0,0,1.06,4.25,14.87,2.12,8.5,0,1.06,4.25,0,1.06,52.04,7.43,15.93,99.83,0,4.25,0,0,1.06,0,0,0,0,5.31,6.37,40.36,1.06,0
 96-106,0,0,0,0,4.37,13.11,1.09,5.46,0,0,1.09,0,0,54.64,3.28,4.37,50.27,0,0,0,0,3.28,1.09,0,0,0,2.19,4.37,28.41,2.19,0
108-118,0,0.77,0,0.77,5.36,10.72,0.77,3.83,0,0,0.77,0.77,0,30.64,2.3,8.43,60.51,0,3.06,0,0,4.6,0,0,0,0,1.53,0.77,20.68,1.53,0.77
120,0,0,0,1.96,9.8,3.92,0,1.96,0,1.96,3.92,0,0,25.48,1.96,15.68,68.59,0,0,0,0,1.96,0,0,0,0,0,3.92,15.68,1.96,0
