stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,5,0,2,0,0,0,0,0,1,9,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,3,0,0,0,2,0,0
 24-34,0,0,0,0,21.34,1.64,0,0,0,0,0.82,0,0,0.82,18.06,0,0,0,3.28,1.64,0,0,0.82,5.75,4.1,0,0,0,0,0,1.64,1.64,0,0,2.46,0,0
 36-46,0,0,0,0,7.25,0,0,1.61,0.81,0,0.81,0,0,0,35.45,0,0,0,0,0,0,0,0.81,16.11,1.61,0,0,0,0,0,0,2.42,0,0,1.61,0,0
 48-58,0,0,0,0,5.16,0,0,4.59,1.15,0,0,0,0,0,26.97,0,0,0,0.57,1.72,0.57,0,0.57,10.33,0.57,0,0,0,0,0,0,2.3,0,0.57,0,0,0
 60-70,0,0,0,0,20.61,0.98,0,7.85,8.83,0,6.87,0,0,0,29.45,0,0,0,0,0.98,0,0,0,10.8,0,0,0.98,0,0,0.98,0,0,0,0,0.98,0.98,1.96
 72-82,0,0,0,0,14.72,0.98,0,5.89,5.89,0,26.5,0,0,0,48.1,0,0,0,0,6.87,3.93,0.98,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,1.96
 84-94,0,0,0,0,23.36,0,0,3.19,11.68,1.06,16.99,0,0,0,67.97,1.06,0,0,0,3.19,3.19,0,0,5.31,0,0,1.06,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,2.19,0,19.67,2.19,0,1.09,7.65,0,48.09,1.09,0,0,85.24,1.09,0,1.09,0,8.74,4.37,0,0,10.93,0,1.09,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,45.96,0,0.77,1.53,23.74,0,36.77,1.53,0,0,77.36,0.77,0.77,0.77,0,3.06,6.13,0,0,11.49,0,0,0.77,0,0.77,0,0,0,0.77,0,2.3,0,1.53
120,0,0,0,0,41.16,1.96,0,1.96,9.8,0,66.63,1.96,0,0,82.31,0,0,1.96,0,1.96,1.96,0,0,5.88,0,0,1.96,0,0,0,0,0,0,0,3.92,0,3.92
