stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,1.15,0,0,0,2.87,0,0,0,0,1.72,0,0,0,2.3,0.57,0,0,0
 60-70,0,0,0.98,0,1.96,0,0,0,0,14.72,0,0,0,4.91,0,0,0,0,6.87,0,0,0.98,1.96,0,0,0,0
 72-82,0.98,0,0,0.98,21.6,7.85,0,0,1.96,55.95,0,0,0,44.17,0,1.96,0,0,20.61,0,1.96,0.98,14.72,0,0,0.98,0.98
 84-94,0,0,1.06,1.06,44.61,4.25,0,1.06,0,76.47,1.06,0,0,145.5,0,3.19,0,1.06,10.62,0,0,1.06,19.12,0,0,0,0
 96-106,1.09,3.28,4.37,2.19,68.85,9.84,0,1.09,3.28,154.09,0,0,1.09,236.05,0,7.65,1.09,0,42.62,1.09,0,5.46,29.51,1.09,0,0,0
108-118,0.77,0,1.53,0,123.32,6.89,0.77,0.77,1.53,229.79,0,0.77,0,492.51,0.77,7.66,0,2.3,38.3,0,0.77,0,22.98,0.77,0.77,0.77,0
120,0,1.96,1.96,1.96,54.87,1.96,0,0,1.96,225.38,0,0,0,288.09,0,11.76,0,0,37.24,0,0,0,35.28,1.96,0,0,0
