stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10,10,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,3,4,1,4,1,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0.82,0,1.64,0,0,0,0,0,0,1.64,0.82,0,0,35.3,0,0.82,0.82,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0.81,1.61,0,0,0,0,0,0,4.03,1.61,0,0.81,0,0,0,0,38.67,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0.57,0.57,0,0,0,0,0,0,0,0,3.44,0,0,0.57,3.44,0,0,0.57,28.69,0,0,0,0,1.72,0,0,1.72
 60-70,0,0,0,0,0.98,0.98,0,0,0,0,4.91,0,0,0,0,0,0,0,1.96,0,0.98,0,0,0,0,0,14.72,0,0.98,0,0,0,0.98,1.96,0.98
 72-82,0,0,0.98,0,0,1.96,2.94,0,0,0.98,3.93,0,0,0.98,0,0,0,0,2.94,0.98,0,0,2.94,0,0,0,32.39,0,0,0,0,0,0.98,2.94,7.85
 84-94,0,0,0,0,0,4.25,0,0,1.06,0,2.12,0,0,0,0,0,0,0,2.12,0,4.25,0,2.12,0,0,0,48.85,0,2.12,0,0,0,1.06,3.19,5.31
 96-106,0,0,0,0,0,2.19,1.09,0,0,0,0,1.09,0,1.09,0,0,0,1.09,3.28,4.37,2.19,0,0,0,0,1.09,48.09,0,0,0,0,0,3.28,1.09,8.74
108-118,0,0,0,0,0,9.19,0,0,2.3,0,0,0,0,0,0.77,0,1.53,0,0.77,0.77,1.53,0,1.53,0,0,0,19.15,0,0,0,0,0,1.53,3.83,9.96
120,0,0,0,0,0,3.92,1.96,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96,0,1.96,0,0,1.96,27.44,0,0,0,0,0,0,1.96,5.88
