stage,eye,fin.mesenchyme,glial,iridophores,mesenchyme,mucous,muscle,neural,notochord,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,3.28,0,0.82,0.82,0,1.64,0
 36-46,0.81,0.81,0,0,5.64,0,3.22,4.03,0,1.61,0
 48-58,0,0,0,0,5.16,0,0,5.74,0,0,0
 60-70,0,0.98,0,0.98,12.76,0,0,8.83,1.96,0,0
 72-82,3.93,0,0.98,0,16.69,0.98,1.96,3.93,0,0,0
 84-94,3.19,1.06,0,0,18.05,0,0,2.12,1.06,0,0
 96-106,6.56,0,2.19,0,15.3,2.19,1.09,5.46,1.09,0,1.09
108-118,3.06,0.77,0,0,9.96,0,0.77,3.83,0,0.77,0
120,0,0,0,0,9.8,0,0,0,0,0,0
