stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,1,0,0,1,2,2,5,1,0,0
 24-34,0,0,0,0.82,0,0,36.94,0,0.82,0,0,0,0,2.46,0,0,4.1,27.91,0,0,0.82,0,0.82,0,4.1,9.03,4.93,0.82,0,0
 36-46,0,0,0,0.81,0,6.45,71.7,0,0,0,0,0,0,1.61,0,0,5.64,31.42,0,0,0.81,0,1.61,0,11.28,1.61,4.03,0.81,0,0
 48-58,0,0,0,0.57,0,13.2,48.77,0.57,4.59,0.57,0,0,0,4.02,0,0,4.02,49.35,0,0.57,0,0,1.72,0,5.16,0,8.61,1.72,0,0.57
 60-70,0,0,0,1.96,0,12.76,41.22,0,3.93,0,0,0,0,12.76,0,0,4.91,38.28,0,0,1.96,0.98,0.98,0,0.98,0,12.76,0,0,0.98
 72-82,0,0,0,0,0.98,10.8,14.72,0,2.94,0,0,0,0,8.83,0,0,2.94,31.41,0,0.98,0,0,0,0,1.96,0,4.91,0,0.98,1.96
 84-94,0,0,0,1.06,0,10.62,22.3,0,5.31,1.06,0,1.06,1.06,10.62,0,1.06,2.12,14.87,0,0,2.12,0,2.12,0,0,0,1.06,1.06,0,0
 96-106,0,0,0,4.37,1.09,7.65,16.39,1.09,3.28,1.09,0,0,0,9.84,0,0,3.28,9.84,0,0,0,0,1.09,0,1.09,0,1.09,2.19,0,1.09
108-118,0,0,0,0.77,0.77,9.96,20.68,0,2.3,0,0,1.53,0.77,5.36,0,0,7.66,10.72,0,0,0,0.77,0.77,0,0,0,0,0,0,0
120,0,0,1.96,1.96,1.96,1.96,21.56,0,1.96,1.96,1.96,0,0,3.92,1.96,0,7.84,21.56,0,0,0,0,3.92,0,1.96,0,0,1.96,0,1.96
