stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,2.63,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,6.29,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,3,2,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,18,0,0,1,0,1,3,1,4,8,0,0
 24-34,0,0.82,0,1.64,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0.82,0,1.64,10.67,0,0.82,0,0,0,0,2.46,0,0.82,0,0.82
 36-46,0,0,0.81,3.22,0,0,0,0.81,0,0,0,0,0,0,0,3.22,0,0,0.81,4.03,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0.57,0,5.16,0,0,0.57,1.15,0,0.57,0,0,0,0,0,2.3,0,0,0,2.3,0,0,0,0,1.15,0,1.72,0,0.57,0,0.57
 60-70,0,0,0,43.19,0,0,0,0,0,0.98,0,0.98,0,0,1.96,0.98,0,0.98,0,2.94,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0.98,0.98,101.11,0,0,0.98,2.94,0,1.96,0,0,0,0,0,4.91,0,0,0,6.87,0,0,0,0,0,0,1.96,0,2.94,0,0
 84-94,0,0,0,133.82,0,0,0,2.12,1.06,0,0,1.06,1.06,1.06,0,4.25,0,0,1.06,6.37,0,0,0,0,4.25,0,3.19,0,0,0,0
 96-106,0,7.65,1.09,142.07,2.19,1.09,0,2.19,0,0,1.09,0,0,2.19,0,4.37,1.09,0,0,3.28,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0.77,0.77,119.49,0,0,0,0.77,2.3,0,0,0.77,2.3,1.53,0,2.3,0,0.77,0,9.19,0.77,0,0,0,2.3,0,6.13,0,2.3,0.77,0
120,0,3.92,0,166.58,0,1.96,0,0,1.96,0,0,1.96,1.96,0,0,1.96,0,0,3.92,13.72,0,0,0,0,0,0,1.96,0,0,0,0
