stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0,0,0,0,0,1,4,7,0,0,0,0
 24-34,0,0.82,0.82,0,0,59.1,0,0,0,10.67,0,0,0,0.82,0,0,0,0,1.64,0,0,0.82,316.03,0,0,9.85,0,0,1.64,0,0,0.82,0.82,67.31,0,0.82,0,0.82
 36-46,0,1.61,0.81,0,0,71.7,0,0,0,62.04,0,0,0,0,0,0,0,0,4.03,0,0,0,685.62,0,3.22,4.83,0,0,0.81,0,0,0,0,163.55,0,0,0,0
 48-58,0,1.72,1.72,0.57,0,170.99,0,0.57,0,130.25,0,0,0,0,0,0,0,2.3,8.03,0,0.57,1.15,1009.32,0,0,9.18,0,0,1.72,0,0.57,0,0,172.72,0.57,1.15,0,0.57
 60-70,0,1.96,1.96,0,0,319.98,0,2.94,0,191.4,0,1.96,2.94,0,0,0,0,0,11.78,0,0.98,0,1721.59,0,0.98,7.85,0,0.98,0.98,0,1.96,0,0,222.81,0,0.98,0,0
 72-82,0,2.94,7.85,1.96,0,316.1,0,0.98,0.98,213.02,0,1.96,0,0,0,1.96,0.98,0,34.36,0,0.98,4.91,1588.33,0,0.98,17.67,0,0,1.96,0,0,0,0,132.52,0.98,8.83,0.98,0
 84-94,0,2.12,11.68,0,0,223.03,0,3.19,1.06,116.82,0,1.06,0,0,1.06,1.06,0,0,18.05,1.06,0,1.06,823.08,1.06,3.19,11.68,0,2.12,5.31,1.06,0,0,0,64.78,2.12,3.19,1.06,0
 96-106,0,0,17.49,0,0,170.48,1.09,3.28,1.09,139.88,0,0,2.19,2.19,1.09,1.09,1.09,1.09,21.86,2.19,2.19,2.19,726.74,0,1.09,24.04,0,2.19,3.28,0,1.09,0,0,27.32,2.19,5.46,1.09,1.09
108-118,0,1.53,10.72,0.77,0.77,120.26,0.77,4.6,0.77,135.58,0.77,3.06,1.53,0,0.77,0,0.77,0,16.85,0.77,0.77,0.77,744.52,0,0.77,20.68,0,0,1.53,0,0,0,0,25.28,0,3.06,0,0.77
120,0,0,5.88,7.84,0,137.18,0,7.84,0,94.07,0,0,1.96,0,0,0,0,0,9.8,1.96,1.96,1.96,815.27,1.96,1.96,19.6,0,3.92,1.96,0,0,0,0,43.12,0,5.88,0,0
