stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,711.61,948.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,1176.89,907.19,0,6.13,0,0,0,0,0,0,0,0,0,85.81,0,0,0,0,0,0,0,0,98.07,67.43,0,0,18.39,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,333.85,7.89,0,281.27,0,0,0,52.57,0,0,0,0,0,665.06,0,0,0,0,0,0,0,0,541.51,294.42,0,0,170.87,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,213.99,0,0,0,40.91,0,0,0,0,0,258.05,0,0,0,0,0,0,0,0,185.67,154.2,0,0,12.59,0,0,3.15,0,3.15,0,3.15,0,0,0,0,0
 14-21,2,0,5,138,123,3,0,0,0,0,0,0,61,109,0,9,0,0,6,5,5,2,25,134,1,1,6,0,3,1,3,5,0,0,36,0,0,0,0
 24-34,0,0,11.49,75.52,33.66,0,0,0.82,0,1.64,0,0,20.52,4.93,0.82,25.45,0,0,18.88,2.46,44.33,0.82,69.77,68.95,0.82,0,0,0,7.39,0,0,0.82,0,0.82,20.52,0,0,0,0.82
 36-46,0,0,5.64,9.67,19.34,0,0,1.61,0,0.81,0,0,26.59,3.22,0,10.47,0,0,21.75,5.64,40.28,0,61.23,41.89,0.81,0.81,0,0,3.22,0,0,0.81,0,0,10.47,0,0,0,0
 48-58,0,0,2.87,6.31,10.33,0,0,4.02,0.57,1.15,0,0,18.36,3.44,0,8.03,0.57,0,18.94,21.23,36.72,1.15,33.85,26.4,0,0,0,0,1.72,0,0,1.72,0,0,4.02,0,0,0,0.57
 60-70,0.98,0,4.91,0,15.7,0,0,2.94,0,0,0,0.98,40.24,4.91,0,2.94,0,0,16.69,99.13,30.43,0.98,27.48,8.83,0,0,0,0,0,0,0,2.94,0,0,1.96,2.94,0.98,0.98,0
 72-82,0,0,27.49,1.96,14.72,0,2.94,6.87,0,1.96,0.98,3.93,109.95,2.94,0.98,8.83,0,0,8.83,185.53,72.64,0.98,30.43,16.69,1.96,0.98,0,0,2.94,0.98,0,0.98,0,0,0.98,6.87,1.96,0.98,0
 84-94,0,0,15.93,8.5,25.49,0,8.5,7.43,0,2.12,0,2.12,159.31,4.25,1.06,3.19,0,2.12,31.86,144.44,56.29,1.06,30.8,16.99,0,0,0,0,2.12,1.06,0,3.19,0,0,2.12,15.93,1.06,0,0
 96-106,0,0,20.76,10.93,17.49,2.19,8.74,6.56,0,1.09,0,2.19,241.52,1.09,1.09,7.65,0,2.19,27.32,84.15,68.85,0,38.25,16.39,2.19,0,0,1.09,6.56,0,0,5.46,1.09,0,0,41.53,1.09,1.09,0
108-118,0,0,15.32,9.19,19.15,1.53,17.62,6.13,0,1.53,0.77,1.53,252,0,0,5.36,0,0.77,31.4,46.72,42.89,0.77,19.92,15.32,0,0.77,0,0,5.36,0,0,6.89,0.77,0,0,61.28,0.77,0,0.77
120,0,0,7.84,3.92,13.72,0,7.84,3.92,0,0,0,0,107.79,0,1.96,1.96,0,0,11.76,41.16,31.36,1.96,19.6,11.76,1.96,0,0,0,3.92,0,0,5.88,0,0,1.96,13.72,0,0,0
