stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,5,0,0,2,0,0,0,0,0,0
 24-34,0,0,0,6.57,9.85,0.82,0,1.64,0,1.64,0,0,0.82,0,0,0,27.91,0,12.31,4.1,0,0.82,1.64,0,0,8.21,0.82,3.28,0,0,67.31,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0.81,8.06,0,0,0,0,0.81,0,0,0.81,1.61,0,0,6.45,0,16.92,3.22,0,2.42,0.81,0,0,7.25,0,4.83,0.81,0,58.81,0.81,0.81,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,5.16,0,0,3.44,0,1.15,0,0.57,3.44,0,0,0,1.72,0,14.92,2.3,0,1.15,0.57,0,1.15,14.92,4.59,2.3,1.15,0,39.02,0,0,0,0.57,0,0,0,0,0
 60-70,0.98,0,0.98,0,14.72,0,3.93,2.94,0,0.98,0,1.96,25.52,0.98,0,0.98,3.93,0,25.52,7.85,0,3.93,1.96,0,0,27.48,3.93,3.93,1.96,0,62.82,0,0,0,0.98,0.98,0,0.98,0,0
 72-82,0,0,8.83,1.96,20.61,0.98,70.68,28.47,0,1.96,0.98,10.8,115.84,0,2.94,3.93,4.91,0.98,46.14,6.87,0,32.39,4.91,1.96,3.93,107,8.83,3.93,2.94,0,83.44,0,0,0,0.98,6.87,1.96,5.89,0.98,1.96
 84-94,1.06,0,7.43,4.25,25.49,4.25,148.69,18.05,0,3.19,1.06,2.12,167.8,0,0,3.19,18.05,1.06,36.11,22.3,0,12.74,2.12,1.06,1.06,70.09,14.87,6.37,0,0,217.72,2.12,0,0,4.25,11.68,0,1.06,0,0
 96-106,0,0,14.21,5.46,38.25,9.84,313.65,49.18,0,3.28,2.19,29.51,304.9,0,1.09,9.84,19.67,2.19,39.34,21.86,0,74.31,5.46,2.19,2.19,216.38,10.93,18.58,7.65,3.28,135.51,0,0,0,4.37,7.65,0,9.84,3.28,4.37
108-118,0,0,10.72,14.55,42.13,15.32,646.47,98.81,3.06,7.66,5.36,21.45,425.88,0,0.77,18.38,30.64,9.19,43.66,32.94,3.83,80.43,3.83,1.53,7.66,255.83,13.79,12.26,4.6,2.3,186.13,1.53,1.53,0,5.36,9.96,3.83,9.96,0.77,8.43
120,1.96,0,7.84,5.88,68.59,17.64,293.97,66.63,1.96,3.92,0,19.6,390,0,0,19.6,31.36,3.92,60.75,29.4,0,62.71,5.88,0,3.92,248.89,41.16,11.76,3.92,1.96,156.78,3.92,0,0,3.92,13.72,1.96,11.76,1.96,3.92
