stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,immune,lateral.line,mesenchyme,mucous,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,21.03,0,0,0,0,0,136.69,2.63,0,36.8,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,3.15,0,0,0,0,0,69.23,3.15,0,22.03,0,3.15,0,0,0,0
 14-21,0,0,0,1,6,0,0,1,31,0,0,0,2,0,1,0,1,1,0,2,0,0
 24-34,0,0,0,0,0.82,0,0,0,68.13,0,0.82,0,2.46,0,0,0,0,0,0.82,1.64,0,0
 36-46,0,0,0,0,0,0,0.81,0,78.15,0,0,0,4.83,0,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,0,0,0,0.57,0,64.27,0,2.3,0,4.02,0,0,0,0,0,0,0.57,0.57,0
 60-70,0,0,0,0,0,0,4.91,0.98,60.85,0.98,0,0,8.83,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,2.94,0.98,64.79,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,3.19,0,81.78,0,0,0,4.25,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,100.54,0,2.19,1.09,3.28,0,0,0,1.09,0,0,0,0,1.09
108-118,0,0,0,0,0,0.77,1.53,0,84.26,0,0,0,3.06,0,0,0,0,0,0,0.77,0.77,0
120,0,0,0,0,0,0,1.96,0,127.39,0,3.92,0,5.88,0,0,0,0,0,0,0,1.96,0
