stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,1,3,0,0,5,0,0,0,0,0,0,10,0,0,0,0,8,0
 24-34,0,0,0,0.82,0,0.82,4.93,0.82,0,0,0,0.82,1.64,45.97,0,0.82,0,0,10.67,0.82
 36-46,0,0,0,0,0.81,0,0.81,0,0.81,0,0,4.03,0.81,53.17,0,0,0,0.81,20.14,0
 48-58,0,0,0,1.15,4.02,0,3.44,0,0,0,1.15,4.59,1.72,41.31,0.57,0,0,0,13.2,0
 60-70,0,0,0,0,5.89,0,1.96,0,0,0,0,6.87,0,60.85,0,0,0,0,13.74,0
 72-82,0,0,0,0,3.93,0,2.94,0,0,0.98,0,15.71,0.98,40.25,0,0,0,0,4.91,0
 84-94,0,0,0,0,7.43,0,1.06,0,0,0,0,3.19,1.06,27.61,0,0,0,0,3.19,0
 96-106,0,0,0,0,2.19,0,0,0,0,0,0,2.19,0,27.32,0,0,0,0,0,0
108-118,0,0,0,0,2.3,0,3.06,0,0,0,0,6.13,0,21.45,0,0,0,0,0,0
120,0,0,0,0,3.92,0,0,1.96,0,0,0,5.88,0,25.48,0,0,0,0,0,0
