stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,1,3,4,7,0,0,2,0
 24-34,0,0,0,2.46,0.82,1.64,0,0,0,0.82,0,0,0,0,0.82,0,0,3.28,0,0,4.1,37.76,0,0,0,0,1.64,0,0,4.93,0,0,0,0
 36-46,0,0,0,2.42,0,4.03,0,0,0,0.81,0,0,0,0,0,0,0,4.83,0,0,2.42,33.84,0,0,0,0,1.61,0,0,4.83,0,0,0,0
 48-58,0,0,0,1.72,0.57,8.61,0,0,0,2.87,0.57,0,0,0,0,0,3.44,5.16,0,0.57,0,14.92,0,1.15,0,0,2.3,0,0,5.16,0,0,0,0
 60-70,0,0,0,1.96,0,12.76,0.98,0,0,8.83,0,0,0,0,0,1.96,6.87,4.91,0,0,2.94,22.58,0,2.94,0,0,4.91,0,0,2.94,0,0,0,0
 72-82,0,0,0,1.96,0,4.91,0.98,0,0,9.82,1.96,0.98,0,0,0,0,13.74,7.85,0,0.98,2.94,14.72,0,0.98,0,0,3.93,0,0,2.94,0,1.96,2.94,0.98
 84-94,0,0,1.06,2.12,0,4.25,0,0,0,3.19,0,1.06,0,0,0,0,105.14,5.31,0,0,0,10.62,1.06,1.06,0,0,11.68,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,6.56,0,3.28,0,1.09,0,5.46,0,0,1.09,1.09,0,1.09,75.41,8.74,0,1.09,0,6.56,0,1.09,0,0,6.56,0,0,1.09,0,0,0,0
108-118,0,0,0,4.6,0,5.36,0,0,0.77,4.6,0,0,1.53,3.06,0.77,0.77,145.53,6.89,0.77,0,1.53,13.79,0,1.53,0,0.77,5.36,0,0,0.77,0.77,0,0,0
120,0,0,0,1.96,0,7.84,1.96,3.92,0,5.88,3.92,0,3.92,1.96,0,0,88.19,1.96,1.96,0,0,11.76,0,0,0,0,11.76,0,0,0,0,0,0,0
