stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,226.8,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,15.77,0,0,7.89,0,0,0,0,160.35,0,70.98,0,0,0,0,0,0
 10-12,0,12.59,0,0,0,18.88,0,0,3.15,0,0,0,0,144.76,3.15,56.65,3.15,3.15,6.29,0,0,0
 14-21,0,0,1,3,1,4,0,0,0,0,4,0,2,45,1,2,0,14,0,4,11,0
 24-34,0,0,0,0.82,0,4.1,0,1.64,0,0,3.28,0,2.46,36.12,0,0,0,0,0,0,11.49,0
 36-46,0,0,0,0,0,3.22,0,0.81,0,0,1.61,0.81,0.81,16.11,0,0,0,0,0,0,4.03,0
 48-58,0,0,0,0,0,4.59,0,0,0,0,5.74,0,0,3.44,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,1.06,1.06,0,4.25,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,1.09,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,1.53,0,0,0.77,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,3.92,3.92,0,0,0,0,0,0,0,0
