stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,1,2,0,4,4,0,0,0,0
 24-34,0,0,1.64,0.82,2.46,0,0.82,0,0,0,0,0,0,0,0,0,8.21,0,4.1,20.52,0,0,0,0,0,0,0,2.46,2.46,0,0,4.93,0
 36-46,0,0,0,0,1.61,0,0.81,0.81,0,0,0,0,0,0,0,0.81,10.47,0,2.42,29.81,0,0.81,1.61,0,0.81,0,0.81,0,7.25,0,0,1.61,0
 48-58,0,0,0,0,13.2,0,0,5.16,0.57,0,0,0,0,0.57,0.57,0,20.08,0,4.02,17.21,0,0.57,0,0,0,0,0,0,5.74,0,0,6.89,0.57
 60-70,0.98,0,0,0,6.87,0,1.96,4.91,3.93,0,0.98,0,0,0.98,0,0,25.52,0,4.91,30.43,1.96,0,0,0,0,0,2.94,0,6.87,0,0.98,1.96,0
 72-82,1.96,0,1.96,0,21.6,0,4.91,18.65,13.74,0,0,0,0,0,0,0,61.84,0,6.87,36.32,0,0.98,0.98,0,1.96,0,18.65,0,7.85,0,0,3.93,0
 84-94,1.06,0,1.06,0,11.68,0,4.25,8.5,33.99,1.06,4.25,0,2.12,1.06,0,2.12,38.23,3.19,2.12,14.87,0,0,3.19,1.06,1.06,0,39.3,0,3.19,1.06,2.12,2.12,1.06
 96-106,1.09,0,2.19,1.09,4.37,1.09,2.19,10.93,33.88,0,6.56,0,2.19,0,1.09,0,30.6,3.28,1.09,22.95,0,5.46,3.28,0,2.19,0,49.18,0,3.28,0,1.09,12.02,0
108-118,0,0.77,1.53,0.77,8.43,0,3.06,12.26,40.6,0.77,2.3,0.77,0.77,0.77,0.77,2.3,31.4,0.77,2.3,26.04,0,0,0.77,0,0,0,51.32,0,0.77,0.77,1.53,3.83,0
120,0,0,0,0,1.96,0,1.96,11.76,37.24,0,0,0,0,0,0,0,21.56,0,5.88,11.76,1.96,0,0,0,0,0,37.24,0,3.92,0,0,1.96,0
