stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,34,0,0,0,0,0,0,0,23,0,0,0,0,2,0,0
 24-34,0,0,158.43,0,0.82,0,0,0,0,0.82,82.91,0,0,0,0.82,4.1,0,0
 36-46,0,0,87.82,0,0,0,0,0.81,0,0,39.48,0.81,0,0,0,4.03,0,0
 48-58,0,0,47.63,0,0,0.57,0,4.59,0,0,24.1,0,0,0.57,0,2.87,0,0.57
 60-70,0,0,18.65,0.98,0,0,0.98,9.82,0,0,22.58,0.98,0,0,0,3.93,0,0
 72-82,1.96,0,11.78,0,0.98,0.98,0,11.78,0,0,20.61,0,0,0,0,0,0.98,0
 84-94,1.06,1.06,11.68,0,0,0,0,7.43,1.06,0,5.31,1.06,0,0,0,0,2.12,0
 96-106,0,0,8.74,0,0,0,0,1.09,0,0,4.37,0,0,0,0,0,0,0
108-118,0.77,0,6.89,0,0,0,0,1.53,0,0,7.66,0,0,0,0,0,0.77,0
120,0,0,5.88,0,0,0,0,3.92,0,0,11.76,0,0,0,0,0,0,0
