stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature
 14-21,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,1,0,2,0,6,6,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,18.06,0,1.64,0,0,1.64,0.82,0.82,4.93,0,0
 36-46,0.81,1.61,0.81,6.45,0.81,0,0,0,0.81,0,0,0.81,4.83,0,2.42,61.23,0.81,0,0.81,0,1.61,0.81,0,15.31,0,0.81
 48-58,0,0,0,12.05,0,0.57,1.72,0,0,0,0.57,0,4.02,0,2.3,47.05,0,0,0,0.57,1.15,0,0,10.9,0,1.15
 60-70,0,1.96,0,22.58,0,0,0.98,0,0,0,0,0.98,3.93,0,0,51.04,0,0,0,0,1.96,0,0,3.93,0,0.98
 72-82,0,0,0.98,21.6,0,0.98,0.98,0.98,1.96,0,1.96,0,0.98,0,0.98,37.3,0,0,0,0.98,0.98,0,0,0,0,0
 84-94,0,1.06,0,12.74,0,1.06,5.31,0,0,0,0,0,3.19,0,0,15.93,0,0,1.06,0,5.31,0,0,3.19,1.06,0
 96-106,0,0,1.09,16.39,0,0,1.09,0,0,0,0,0,4.37,0,0,18.58,1.09,1.09,0,0,4.37,0,0,0,0,1.09
108-118,0,0,0,2.3,0,0,1.53,0,0.77,0.77,0,0,0.77,0,1.53,10.72,0,0.77,0,0,0.77,0,0,0,0,0
120,1.96,0,0,3.92,0,0,1.96,0,0,0,0,0,0,1.96,1.96,1.96,0,0,0,0,0,0,0,0,0,0
