stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0.82,4.1,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0.82,0,0,0,0,0
 36-46,0.81,0,0,0,0,0,0,0,3.22,29,0,0,0.81,5.64,0,0,3.22,0,0,0,0,0,0.81,1.61,0,0,0.81,0
 48-58,0.57,0,0,2.87,0,0.57,0.57,0,1.15,9.18,0,0,4.59,20.66,0,0,2.87,1.15,0,0,0,0.57,0.57,2.3,1.15,0,1.15,0
 60-70,0,1.96,0,4.91,0.98,0.98,0,0,0,38.28,0.98,0,3.93,42.21,0.98,0.98,2.94,0,0,0,0,0.98,1.96,0,0,0,0,0
 72-82,0.98,4.91,0,8.83,0,0.98,0,0,0.98,15.71,0,0,3.93,93.26,0,3.93,8.83,0,0,0,0,0,1.96,2.94,0,0,7.85,0.98
 84-94,0,3.19,0,8.5,0,0,2.12,1.06,0,24.43,0,0,7.43,72.22,2.12,2.12,3.19,0,0,0,0,2.12,2.12,2.12,1.06,0,6.37,1.06
 96-106,3.28,8.74,1.09,6.56,1.09,1.09,2.19,2.19,1.09,42.62,0,1.09,3.28,119.12,1.09,1.09,10.93,0,1.09,1.09,0,0,0,0,0,3.28,19.67,3.28
108-118,1.53,2.3,0,8.43,0.77,0,1.53,2.3,0,28.34,0.77,1.53,4.6,124.85,1.53,0.77,6.89,0,0,0.77,0,0,0.77,5.36,0,0.77,13.02,0
120,0,7.84,0,1.96,0,0,1.96,0,1.96,47.03,0,0,1.96,109.75,5.88,1.96,13.72,0,0,0,0,1.96,3.92,0,0,0,7.84,0
