stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vasculature,xanthophores
  3-4,79.07,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,30.65,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,5.26,0,5.26,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,25.18,0,22.03,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,1,0,0,0
 24-34,0,0,0.82,0.82,0,1.64,1.64,0,0,0,0,0,0,0,0,0.82,0,0,0.82,3.28,0.82,0,0,64.85,0.82,0,0.82,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0,0,3.22,0.81,0,0,68.48,0,0,0,0
 48-58,0,0,0,0.57,0,0.57,0.57,0.57,0,0,0,0,1.15,0,0,0,0,1.72,0,3.44,0,0,0,86.64,1.72,0,0,1.15
 60-70,0,0,0,1.96,0,2.94,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0,2.94,0,0,0,130.54,0.98,0,0,0
 72-82,0,0,0,8.83,0,3.93,0.98,0,0,0,0,0,0,0,0,0,1.96,2.94,0,2.94,0.98,0,0.98,155.1,0,0,1.96,0
 84-94,0,0,0,16.99,0,2.12,5.31,0,0,3.19,0,3.19,8.5,1.06,1.06,0,2.12,3.19,0,4.25,0,0,0,584.12,1.06,1.06,1.06,0
 96-106,0,0,0,30.6,1.09,2.19,14.21,0,1.09,1.09,0,0,5.46,0,1.09,1.09,4.37,3.28,1.09,6.56,1.09,0,0,491.78,1.09,1.09,0,1.09
108-118,0,0,0,22.98,0,0,12.26,0,0,2.3,0,3.06,10.72,0,0,0.77,2.3,4.6,0,3.06,1.53,0,0,337.79,0.77,1.53,0,0
120,0,0,0,27.44,0,1.96,31.36,0,0,3.92,0,3.92,9.8,0,0,1.96,0,9.8,0,5.88,0,0,0,317.49,0,0,0,0
