stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,3,1,1,0,0,0,14,0,14,201,1,0,0,1,0,0
 24-34,0,0,0,4.93,0,0,0,2.46,0,0,0,0,0,0.82,0,0,0,0,0,1.64,0.82,0,5.75,10.67,1.64,4.93,0,0,16.42,0,0.82,3.28,38.58,2.46,0,0,4.93,0,0
 36-46,0,0,0,4.03,0,0.81,7.25,2.42,0,1.61,0,0,0.81,2.42,0,0,0,0,0,0.81,0,0,5.64,15.31,1.61,1.61,0,0,12.09,0,0,1.61,0,1.61,0,0.81,4.03,0,2.42
 48-58,0,0,0,0.57,0,1.72,5.74,5.16,0,3.44,0,0,0,0,0,0,0,0,1.15,5.74,0,0,8.03,17.21,0.57,0.57,0,0,5.16,0,0,2.3,0,2.3,0,0,1.15,0,1.72
 60-70,0,0,0,5.89,0.98,9.82,9.82,7.85,0,8.83,0.98,0,0.98,1.96,0,0,0,0,0,3.93,0,0.98,10.8,35.33,0.98,0.98,0,0,13.74,0,0,0.98,0,3.93,0,0,2.94,0,0
 72-82,0,0,1.96,6.87,0.98,17.67,3.93,2.94,0,15.71,2.94,0,0,2.94,0,0,0.98,0,0,17.67,0,0,14.72,45.16,2.94,1.96,0,0,10.8,0,0,1.96,0,3.93,0,0,2.94,0,0.98
 84-94,0,0,0,8.5,1.06,12.74,6.37,11.68,0,7.43,9.56,0,1.06,9.56,0,1.06,0,1.06,0,6.37,0,0,15.93,40.36,1.06,1.06,0,0,27.61,0,0,5.31,0,2.12,1.06,0,10.62,0,0
 96-106,0,0,0,9.84,4.37,20.76,6.56,9.84,0,4.37,8.74,0,0,10.93,1.09,0,0,3.28,0,8.74,0,0,20.76,53.55,6.56,2.19,1.09,1.09,27.32,0,0,1.09,0,3.28,1.09,1.09,9.84,0,0
108-118,0,0,0.77,15.32,0.77,20.68,5.36,13.02,0,8.43,7.66,0,0.77,6.13,1.53,0.77,0,1.53,0.77,11.49,0.77,1.53,25.28,45.19,0.77,4.6,0,0,16.09,0,0,6.13,0,3.83,0,0,6.13,0,3.06
120,0,0,1.96,13.72,1.96,15.68,3.92,7.84,1.96,29.4,9.8,0,1.96,11.76,0,0,1.96,1.96,0,7.84,0,0,33.32,101.91,9.8,7.84,0,0,39.2,0,0,3.92,0,1.96,0,1.96,3.92,1.96,0
