stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,immune,mesenchyme,muscle,neural,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,1,0,1,2,10,3,0,0,3,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,4.1,0,18.88,0,0.82,1.64,4.93,0,0,0
 36-46,0,0,0,0.81,1.61,0.81,0,0,2.42,0.81,30.62,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,6.89,1.15,0,0,5.16,0,30.99,0,0,0,4.59,0,0.57,0
 60-70,0,0,0,0.98,0.98,1.96,0,0,5.89,0,7.85,0,0,0,0,0.98,0.98,0
 72-82,0,0,0,1.96,5.89,0,0,0,0,0,2.94,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,1.06,0,0,3.19,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,4.37,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,1.53,0,0.77,0,0.77,0,3.83,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0
