stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
 14-21,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,1,0,0,0,0,0,0
 24-34,0,0.82,0,3.28,0,0,0,0,0,0,0,0,0.82,0,0,0.82,1.64,20.52,0,0.82,0,1.64,0,0,0,0.82,4.93,0,0,0
 36-46,0,0,0,3.22,0.81,0,0,0,0,0,0,0,0,0,0,0,0,16.11,0,0,0,1.61,0,0,0,0,3.22,0,0,0
 48-58,0.57,0.57,0,8.61,0,0,1.72,0,0,0,0,0,1.72,0,3.44,0,0,22.38,0,0.57,4.02,0.57,0,0,0,0,2.3,0,0,0
 60-70,0,0.98,0,22.58,0,0,1.96,0,0,0,0,0,6.87,0,3.93,0,0.98,22.58,0,0,6.87,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,1.96,23.56,0.98,0,1.96,0,0,0,0,0,15.71,0,2.94,0,1.96,29.45,0,1.96,18.65,1.96,0,0,0,0,1.96,0,0.98,0.98
 84-94,0,1.06,0,22.3,1.06,1.06,2.12,0,0,0,1.06,0,13.81,0,4.25,0,0,12.74,0,1.06,24.43,1.06,0,0,0,0,1.06,1.06,0,0
 96-106,0,2.19,1.09,13.11,0,1.09,0,3.28,0,2.19,0,0,39.34,0,6.56,0,0,37.16,0,0,32.79,7.65,1.09,0,1.09,0,1.09,0,0,0
108-118,0.77,3.06,0,10.72,0,0,2.3,0,0.77,1.53,0.77,0.77,22.21,0,6.13,0,0,21.45,0.77,0,23.74,6.13,0,0,0,0,0.77,0,0,0.77
120,0,1.96,0,7.84,0,0,1.96,0,0,0,0,0,17.64,3.92,3.92,0,1.96,17.64,0,1.96,21.56,1.96,0,0,0,0,0,1.96,1.96,0
