stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,78.86,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,0,0,40.91,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,191.97,3.15,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,11,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,2,235,3,1,1,2,1,0,3,0,2,14,88,0,0,0,0,0
 24-34,0,0,0.82,2.46,1.64,0,0,41.86,0,0,0,11.49,0.82,0,0,0,0.82,0,0,1.64,0,1.64,0,0,2.46,1028.53,1.64,10.67,4.1,0,2.46,0,0,0,0,0.82,210.96,0,0,1.64,0,0
 36-46,0,0,0.81,0,4.03,0.81,0,170.8,0,0.81,0,28.2,0,0,1.61,0.81,0,0,0.81,0,0,5.64,0.81,0.81,2.42,2564.45,0.81,8.86,4.83,0,0.81,0,0,0,0.81,0,437.48,0,0,1.61,0,1.61
 48-58,0,0,1.15,0,9.75,0,0,407.4,0,0.57,0.57,59.68,0,0.57,0.57,0.57,0.57,0,1.15,1.15,0.57,23.53,0.57,0.57,2.87,2539.09,1.15,8.03,6.31,0,2.3,0.57,0,0.57,0.57,0,417.73,0,0,2.3,0,0
 60-70,0,0,0,0,6.87,4.91,0,870.61,0,0,0,89.32,0.98,0,0.98,0.98,0.98,0.98,2.94,0,0.98,19.63,0,0.98,4.91,4002.65,0.98,6.87,13.74,0,6.87,0,0,0,0.98,0,425,0,0,3.93,0,2.94
 72-82,0,0,2.94,0,16.69,45.16,0.98,689.13,0,0.98,3.93,108.96,0.98,0,0.98,1.96,2.94,1.96,2.94,0.98,1.96,53.99,1.96,0,4.91,2821.3,0,15.71,21.6,0,7.85,0,0,0.98,0.98,0,216.95,4.91,2.94,1.96,1.96,0.98
 84-94,0,0,3.19,0,24.43,28.68,2.12,466.23,0,1.06,1.06,92.4,1.06,0,0,3.19,3.19,1.06,4.25,2.12,1.06,39.3,0,2.12,2.12,1431.63,1.06,11.68,32.92,0,12.74,0,0,0,0,0,138.06,5.31,2.12,3.19,1.06,0
 96-106,0,0,4.37,0,12.02,33.88,0,323.48,1.09,1.09,2.19,80.87,2.19,1.09,0,7.65,2.19,1.09,7.65,3.28,0,24.04,1.09,2.19,3.28,1065.53,0,9.84,36.06,0,17.49,0,0,0,0,0,43.71,1.09,0,5.46,0,2.19
108-118,0,0,3.83,0,16.09,16.09,6.13,249.7,1.53,0,3.06,51.32,0.77,0,0,5.36,0,1.53,5.36,0,0,26.04,0.77,0,4.6,1297.54,0,4.6,31.4,0,7.66,0,0,2.3,0.77,0,32.94,3.83,0.77,3.83,0.77,0.77
120,1.96,0,0,0,13.72,15.68,1.96,223.42,1.96,1.96,1.96,80.35,0,0,1.96,5.88,1.96,0,5.88,1.96,0,43.12,3.92,0,11.76,1569.79,0,7.84,39.2,0,1.96,0,0,0,1.96,0,43.12,0,0,1.96,1.96,1.96
