stage,blastomeres,epidermis,eye,fast_muscle,fin_mesenchyme,glial,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,slow_muscle,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,28.32,0,0,0,0,0,119.58,3.15,0,0,0,0,0,0,0
 14-21,0,1,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0
 24-34,0,0,33.66,0.82,0,0,0,0.82,8.21,0,0,0,0,0,0,0,0
 36-46,0,0,24.17,2.42,0,0,0.81,0,4.83,0,0,0,0.81,0,0,0,0.81
 48-58,0,0.57,12.62,0.57,0,0,0,0,2.87,0,0,0,1.15,0,0,0,0
 60-70,0,0,20.61,0,0,2.94,2.94,0,2.94,0,0,0,0.98,0.98,0.98,0,0
 72-82,0,0.98,13.74,0,0.98,2.94,0.98,0,0.98,0,0,0,0,0,0,0.98,0.98
 84-94,0,2.12,6.37,0,0,2.12,1.06,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,13.11,0,1.09,6.56,2.19,0,1.09,0,2.19,0,0,0,0,0,0
108-118,0,2.3,9.19,0,0,5.36,3.06,0,0.77,0.77,0,0,0,0,0,0,0.77
120,0,1.96,5.88,0,0,3.92,1.96,0,1.96,1.96,0,0,0,0,0,0,0
