stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,periderm,spinal.cord,vasculature,xanthophores
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,1,1,13,1,1,2,0,0
 24-34,0,0,0,1.64,0.82,0.82,0,0.82,0.82,0.82,0,59.92,0,0,24.63,1.64,0.82
 36-46,0,0,0,0,0.81,1.61,0,0,0,3.22,0,12.09,0.81,0.81,6.45,0,0
 48-58,0,0,0,2.3,2.3,5.16,0,0,0,24.67,1.15,15.49,0,0,9.75,0,0
 60-70,0,0,0,0,0.98,4.91,0,0,0,2.94,0,4.91,0,0,0.98,0,0
 72-82,0,0.98,0.98,2.94,0,5.89,0,0,0,59.88,0,10.8,0,0,2.94,0,0
 84-94,0,0,0,0,0,3.19,0,0,0,9.56,1.06,2.12,0,0,1.06,0,0
 96-106,0,0,1.09,0,1.09,2.19,0,0,0,5.46,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0,0,3.06,0,0,0,4.6,0,0.77,0,0,0,0,0
120,0,0,0,0,1.96,3.92,1.96,0,0,15.68,0,3.92,0,0,0,0,0
