stage,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,1.64,0,0.82,0,0,4.1,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,3.22,0,2.42,0,0.81,3.22,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,1.15,0,1.72,0.57,0.57,2.87,0,0,1.15,0,0,0
 60-70,0,0,0,1.96,0.98,0,0,0,0,1.96,1.96,0,3.93,0.98,0.98,0,0,0,0
 72-82,0,0.98,0,2.94,0,0,0,0.98,0,0.98,1.96,0,4.91,0,0,2.94,0,1.96,2.94
 84-94,0,0,1.06,3.19,0,0,0,2.12,1.06,1.06,4.25,0,5.31,0,0,0,0,2.12,3.19
 96-106,0,0,0,0,0,0,0,3.28,0,0,2.19,0,4.37,0,0,0,0,1.09,0
108-118,0,1.53,0,0,1.53,0,0,5.36,0,3.06,3.06,0,3.06,0.77,0,0.77,0.77,0,1.53
120,0,1.96,0,0,0,1.96,0,1.96,0,0,1.96,0,11.76,0,1.96,0,1.96,1.96,1.96
