stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0
  7-9,2.63,0,2.63,0,0,0,0,42.06,0,0,0,0,0,13.14,0,2.63,0,5.26,0,0
 10-12,0,0,0,0,3.15,0,0,15.73,0,0,0,0,0,22.03,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0.98,0,0
 72-82,0,0,0,1.96,0.98,0,0,0,0,0,0,0,0,1.96,0,0,0,0.98,0,0
 84-94,0,0,0,3.19,0,1.06,0,0,1.06,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,13.11,0,0,1.09,0,0,0,1.09,1.09,0,0,1.09,0,0,2.19,1.09,1.09
108-118,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0.77,0,0,0,1.53,0,0
120,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
