stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,23,0,0,0,0
 24-34,0,0,0,1.64,0,0,1.64,0,0,0.82,0,0,0,0.82,0,0,0,2.46,0,0,0.82,176.48,2.46,0,0,0,0,0,70.59,0,0,0,0
 36-46,0,0,0,0.81,0,0,7.25,0,0,1.61,0,0.81,0,0,0,0,0,3.22,0,0,1.61,417.34,12.89,0,0,3.22,0,0,127.3,0,0,0,0
 48-58,0,0,0,2.3,0,0,39.02,0.57,0,6.89,0,0,0,0.57,0,0,0,10.9,0,0,1.72,521.01,8.03,0,0,3.44,0,0,110.74,0,0,0,0
 60-70,0,0.98,0,1.96,0,0,129.56,0,1.96,9.82,0,0,0,0,0,0,0,9.82,0,0,2.94,903.98,8.83,0,0,0,0,0,168.82,0,0,0,0
 72-82,0,1.96,0,2.94,1.96,0,158.05,0,0,17.67,0.98,0,0,0,0,0,0.98,10.8,0,0,1.96,808.89,10.8,0,0,0.98,0,0,95.22,0,0,0.98,0.98
 84-94,0,1.06,0,2.12,0,0,121.07,0,0,10.62,0,0,0,0,0,0,0,11.68,1.06,1.06,1.06,440.75,6.37,0,0,1.06,0,0,55.23,0,0,1.06,0
 96-106,0,0,0,4.37,2.19,0,96.17,1.09,0,22.95,0,0,1.09,0,0,1.09,0,9.84,0,1.09,1.09,358.45,6.56,0,0,2.19,0,0,32.79,1.09,1.09,0,0
108-118,0,0,0,3.06,1.53,0.77,72.77,0.77,0,19.15,0,0,0,0.77,1.53,0.77,0,6.89,0,0.77,0.77,382.22,3.06,0.77,0,1.53,0.77,0,16.85,1.53,0,0.77,0
120,0,0,0,0,3.92,0,88.19,0,0,21.56,0,0,0,1.96,1.96,0,0,3.92,0,0,1.96,495.83,5.88,3.92,0,5.88,0,0,31.36,0,0,0,0
