stage,axial,blastomeres,endoderm,epidermis,eye,gut,ionocyte,lateral.line,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,10.51,2.63,10.51,0,0,0
 10-12,0,6.29,3.15,0,0,0,0,0,0,132.17,0,18.88,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.15,0,0,1.15,0.57,0.57
 60-70,0,0,0,0.98,0,0,0,0,0.98,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0.98,0,0,1.96,0,0
 84-94,0,0,0,0,0,1.06,1.06,0,0,1.06,0,0,4.25,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0,0
108-118,0,0,0,1.53,0,0,0,0,0,0,0,0,2.3,0,0
120,0,0,0,7.84,0,0,0,1.96,0,1.96,0,0,0,0,0
