stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,3.15,0,0
 14-21,0,0,1,1,0,0,0,0,1,0,0,0,2,0,2,4,0,0,0,3,21,0,0
 24-34,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,4.93,0,0,0,0,0,3.28,0.82
 36-46,0,0,0,0,0.81,0.81,0,0,0.81,0,0,0,2.42,0,0,8.06,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,3.44,0,0,2.87,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,0,0,4.91,0,1.96,0.98,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,4.91,0,0,0,0.98,0,0,0,1.96,0,0,2.94,0.98,0,0.98,0,0,0,0
 84-94,0,0,0,0,2.12,1.06,0,0,1.06,2.12,0,0,3.19,1.06,0,5.31,0,0,1.06,0,0,0,0
 96-106,0,1.09,1.09,1.09,1.09,1.09,0,0,1.09,0,1.09,0,2.19,0,3.28,6.56,0,0,1.09,0,0,0,0
108-118,0,0,0.77,0,0,0,1.53,1.53,0,0,0,0,0,0,0,2.3,0.77,0,0,0,0,0,0
120,0,0,0,3.92,3.92,0,0,0,0,0,0,1.96,0,0,1.96,7.84,0,0,0,0,0,0,0
