stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,10,0,0,0,1,0,0,0,0,6,0,0,0,0,0
 24-34,0,0,2.46,0,0,5.75,0,0,1.64,0.82,0,0,0,0.82,0,0,0,0,5.75,0,0,5.75,43.51,1.64,0,0,0,0,0.82,0,0,7.39,0,0,0.82,0,0
 36-46,0,0,1.61,1.61,0,20.14,0.81,0.81,0.81,0.81,0,0,0,0,0,0,0.81,0,15.31,0,0,1.61,78.96,0,0,0.81,0,0,0,0,0,11.28,0,0,0,0,0.81
 48-58,0,0,1.15,0,0,33.28,1.15,0,0,4.02,0,0,0.57,0,0,0,0,1.15,10.9,0,0,3.44,60.25,0.57,0,0,0,0,1.15,0,0,16.64,0,0,0.57,0,1.72
 60-70,0,0,4.91,1.96,0,47.11,0,0.98,0.98,19.63,0,0,0,0,0,0,0,0,33.37,0,0,2.94,84.41,1.96,0,0.98,0,0,1.96,0,0,9.82,0,1.96,0.98,0,1.96
 72-82,0.98,0,3.93,1.96,0,16.69,0.98,0,0,7.85,0.98,0,0,0,0,0.98,0,0,27.49,0,0,0,55.95,0.98,0.98,1.96,0,0,1.96,0,0,3.93,1.96,0.98,3.93,0.98,0.98
 84-94,0,1.06,2.12,0,0,22.3,0,1.06,1.06,5.31,0,1.06,0,4.25,0,1.06,0,0,9.56,0,0,1.06,19.12,2.12,0,2.12,0,0,6.37,1.06,0,2.12,0,3.19,2.12,0,0
 96-106,0,0,6.56,2.19,0,12.02,0,1.09,0,4.37,0,0,0,2.19,1.09,1.09,0,0,9.84,0,0,1.09,20.76,0,0,1.09,0,2.19,7.65,0,0,2.19,0,1.09,2.19,1.09,0
108-118,0,0,3.06,1.53,1.53,11.49,0,0.77,0.77,1.53,0.77,0,0,1.53,1.53,0.77,0,0,11.49,0.77,1.53,1.53,19.15,0,1.53,0,0,0,6.89,0.77,0.77,0,0,0,3.06,0,0
120,0,0,9.8,0,0,13.72,1.96,3.92,1.96,9.8,5.88,0,0,3.92,0,0,0,0,21.56,0,0,1.96,45.08,3.92,0,0,0,0,7.84,0,0,0,0,1.96,1.96,0,0
