stage,blastomeres,eye,glial,gut,ionocyte,mesenchyme,neural,olfactory,paraxial.mesoderm,pronephros,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0.81,2.42,0,0,0,0.81
 48-58,0,0,0,0,0,0,1.15,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0.98
 72-82,0,0.98,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0
108-118,0,0,0,0.77,0.77,0.77,0,0,0,0,0
120,0,1.96,0,0,0,0,0,0,0,0,0
