stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,15.73,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,3,0,3,0,0,0,7,0,0,0,0,0,0,0,4,0,0,6,80,2,0,0,1,0,0,0,2,0,4,28,0,0,3,0,0
 24-34,0,0,0.82,0.82,0.82,2.46,0,19.7,0,0,0.82,2.46,0.82,0,0,0.82,0,0,0,10.67,0,0,5.75,189.62,2.46,9.85,0.82,0,0,0.82,0,0,0,0.82,64.03,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0.81,0,36.26,0,0,0.81,11.28,0.81,0,0,0,0.81,0,0.81,18.53,0,1.61,10.47,208.67,0.81,12.09,0,0,0,0.81,0,0,1.61,0.81,68.48,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,6.31,0,52.22,0,0,0.57,17.21,0,0.57,0,0,2.3,0,0.57,18.36,0,3.44,5.74,203.7,0.57,9.75,0.57,0,0,0,0,0,0,0,44.18,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,0.98,11.78,0,113.86,0.98,0,0.98,12.76,0.98,0,0.98,0,0.98,0,0,36.32,0,3.93,4.91,399.48,0,13.74,0,0,0,0.98,0,0,0,0,44.17,0,0,1.96,1.96,0
 72-82,0,0,0.98,0,3.93,52.03,0,133.51,0,1.96,2.94,34.36,2.94,0,0,0,0,0,0,66.75,0,3.93,5.89,413.28,0,13.74,0.98,0,0,0,0,0,0,0,28.47,0.98,2.94,7.85,1.96,0
 84-94,0,0,3.19,0,10.62,48.85,0,145.5,0,0,0,24.43,6.37,0,1.06,1.06,1.06,0,2.12,43.54,1.06,6.37,7.43,268.7,0,5.31,1.06,0,0,2.12,0,0,1.06,0,22.3,0,1.06,12.74,6.37,0
 96-106,0,0,5.46,0,6.56,40.44,0,137.7,0,1.09,1.09,32.79,8.74,0,0,0,0,0,2.19,56.83,1.09,2.19,4.37,252.45,1.09,24.04,1.09,0,2.19,1.09,0,0,0,0,13.11,0,2.19,15.3,3.28,0
108-118,0,0,3.06,0,8.43,32.17,0.77,123.32,0,1.53,0.77,38.3,4.6,0,0.77,0,1.53,0,2.3,49.02,0.77,2.3,3.83,277.28,0.77,22.21,1.53,0,0,0.77,0,0,0.77,0,14.55,0,0.77,8.43,3.83,0
120,0,0,1.96,0,3.92,33.32,0,88.19,0,1.96,1.96,17.64,11.76,0,0,1.96,0,1.96,0,54.87,0,1.96,1.96,358.64,1.96,15.68,0,0,1.96,0,0,0,0,0,15.68,0,0,15.68,5.88,0
