stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,26.29,0,5.26,0,0,0,0
 10-12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.97,0,6.29,0,3.15,6.29,0
 14-21,0,4,1,0,0,0,8,0,0,0,0,0,0,0,1,111,0,1,1,0,65,0
 24-34,0,6.57,0,0,0,0,9.03,0,0,0,0,0,0,0,0,80.44,0,0,4.93,0,32.83,0
 36-46,0,8.06,0,0.81,0,1.61,6.45,0,0,0,0,0.81,0,0,0,20.14,0,0,6.45,0,14.5,0
 48-58,0,4.02,0,0,0,1.72,2.87,0,0,0,0,0.57,0,0,0,9.75,0,0,8.61,0,6.89,0
 60-70,0,13.74,0,0,0,4.91,3.93,0,0,0,0.98,0.98,0,0,0,3.93,0,0,10.8,0,1.96,0
 72-82,0,5.89,0,0.98,0,1.96,5.89,0,0,0,0,0.98,0,0,0,7.85,1.96,0,12.76,0,0.98,0
 84-94,0,19.12,1.06,0,0,6.37,7.43,1.06,0,0,0,2.12,0,1.06,0,1.06,2.12,0,39.3,0,3.19,0
 96-106,0,24.04,0,0,0,8.74,10.93,0,0,0,2.19,2.19,1.09,0,0,7.65,3.28,0,39.34,0,0,0
108-118,0,18.38,0,1.53,0.77,10.72,7.66,0.77,0,0,0.77,4.6,1.53,0,0,1.53,0.77,0,26.81,0,0,0.77
120,0,37.24,0,0,0,1.96,9.8,1.96,0,1.96,1.96,0,1.96,0,0,1.96,1.96,0,21.56,0,1.96,0
