stage,epidermis,eye,fast.muscle,gut,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0.82,0,0.82,0.82,0,0,0.82,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0.57,0,0,0,0,0.57,0,0,0.57,0,0.57,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0.98,0.98,0,0
 72-82,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0.98
 84-94,1.06,0,1.06,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,2.19,0,0,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0.77,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,5.88,1.96,0,0,1.96,1.96,0,0,0,0,0,0,0,0
