stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,128.72,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,7.89,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,68.35,5.26,0,0,13.14,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,223.43,3.15,0,0,9.44,0,6.29,6.29,3.15,3.15,0,0,0,0,0,0,0
 14-21,1,0,3,5,198,1,0,11,0,0,0,0,0,1,0,0,15,0,0,0,5,1,1,0,1,26,1,0,2,0,0,14,0,4,1,1,6,3,0,0,1,5
 24-34,0,0,0.82,0.82,19.7,3.28,0,0.82,0,4.1,0,0,0.82,0,0,0,17.24,0,0,1.64,8.21,2.46,3.28,0,0,19.7,0,0.82,0,0,0,4.93,0,0,1.64,1.64,2.46,8.21,0,0,5.75,5.75
 36-46,0,0,0.81,0,18.53,4.03,0,4.83,0.81,4.03,0.81,4.03,0,0,0.81,0,13.7,3.22,0,0.81,8.06,1.61,1.61,0,0,24.98,0,1.61,2.42,0,0,2.42,0,0,2.42,1.61,0,4.83,0,0,1.61,3.22
 48-58,0,0,1.15,0,10.33,2.3,0,3.44,0,2.3,1.15,18.94,0,1.15,0.57,0,4.59,1.72,0,0.57,12.05,5.16,0,0,1.72,17.79,0.57,0,2.3,0,0,2.87,0,0,1.72,0.57,0,6.31,0,0,2.3,3.44
 60-70,0,0,0.98,0,31.41,0.98,0,11.78,0.98,1.96,0,9.82,0.98,0,0.98,1.96,14.72,7.85,0,1.96,2.94,4.91,2.94,0,0,16.69,3.93,1.96,2.94,0,0,9.82,0,0,0,2.94,0,3.93,3.93,0,5.89,2.94
 72-82,0,0,2.94,0,51.05,16.69,0,13.74,1.96,3.93,0.98,24.54,8.83,0,3.93,0.98,8.83,4.91,0.98,0,5.89,9.82,0.98,0.98,0.98,21.6,0.98,0.98,4.91,0,0,20.61,0,0,2.94,0.98,0,1.96,5.89,0,7.85,1.96
 84-94,1.06,0,2.12,0,78.59,8.5,0,25.49,0,11.68,0,20.18,27.61,1.06,0,4.25,30.8,11.68,1.06,1.06,10.62,14.87,2.12,0,2.12,14.87,0,3.19,3.19,0,1.06,55.23,0,0,13.81,0,0,0,21.24,0,5.31,6.37
 96-106,0,0,2.19,0,99.45,12.02,1.09,16.39,0,8.74,3.28,25.14,50.27,0,1.09,22.95,49.18,3.28,3.28,5.46,6.56,16.39,5.46,0,2.19,18.58,1.09,4.37,16.39,0,0,95.08,0,0,8.74,1.09,0,5.46,25.14,2.19,6.56,1.09
108-118,0,0,0,0,140.94,3.06,1.53,14.55,1.53,11.49,0.77,16.85,72,0,0.77,26.81,58.21,15.32,2.3,16.85,8.43,11.49,7.66,2.3,1.53,21.45,0,1.53,16.85,0,0.77,78.89,0,0,10.72,0.77,0,0.77,35.23,0.77,5.36,6.13
120,0,0,1.96,0,92.11,29.4,0,3.92,1.96,13.72,0,11.76,50.95,0,0,27.44,21.56,0,0,17.64,0,11.76,0,0,0,11.76,1.96,7.84,5.88,0,0,78.39,0,0,1.96,0,0,3.92,17.64,0,1.96,1.96
