stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,2714.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685.25,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,2298.61,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,49.04,6.13,0,0,6.13,404.56,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,15.77,0,10.51,0,0,0,23.66,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,402.19,5.26,0,0,65.72,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,3.15,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,204.55,0,0,0,81.82,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,2,5,19,15,0,0,0,0,0,87,1,0,0,0,0,0,0,0,15,0,0,2,83,2,2,36,15,2,1,23,130,2,42,255,0,1,0,0
 24-34,0,0,0.82,0,4.1,0,0,5.75,0,0.82,2.46,83.73,0,0,0,0,0,0,3.28,0,1.64,0,0,3.28,70.59,2.46,28.73,9.03,0,0.82,0,0,48.43,0,10.67,192.9,0,1.64,0,0
 36-46,0,0,0.81,0,0.81,0.81,0,25.78,0,0,1.61,56.4,0,0,0,0,0,0,2.42,0,4.03,0,0,4.03,62.84,0.81,33.84,3.22,0,0,0,0,16.11,0,0,115.21,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,173.86,0,0.57,0.57,64.84,0,0,0,0,0,0,2.87,0,5.16,0,0.57,2.87,45.33,0,28.69,8.03,0,0,0,0,8.03,0,0,113.04,0,0,0,0.57
 60-70,0,0,0.98,0,1.96,0,0,400.46,0,0,0.98,67.73,0.98,0,0,0,0,0,5.89,0,4.91,0,0.98,0,43.19,0,33.37,13.74,0,0.98,0,0,7.85,0,0,60.85,0,0,0,0
 72-82,0,0,9.82,0,0.98,0.98,0,371.07,0,0.98,0,96.2,2.94,0,0,0,0,0.98,11.78,0,3.93,0.98,0.98,1.96,39.27,0,57.92,27.49,0,0,0,0,8.83,0,0,32.39,0,0.98,1.96,0
 84-94,0,0,18.05,2.12,4.25,0,0,326.05,1.06,1.06,2.12,66.91,5.31,0,0,0,1.06,0,18.05,0,7.43,0,1.06,1.06,25.49,0,71.16,29.74,0,0,1.06,0,20.18,0,0,45.67,1.06,0,0,0
 96-106,0,0,8.74,2.19,2.19,1.09,0,167.21,0,0,0,54.64,9.84,0,0,0,1.09,0,26.23,0,1.09,0,0,1.09,21.86,0,110.38,32.79,0,1.09,0,0,18.58,0,0,27.32,0,0,1.09,0
108-118,0,0,3.83,3.06,2.3,0.77,0,107.23,0,0,0.77,51.32,6.13,0,0,0.77,0,0,20.68,0.77,4.6,0,0,0,23.74,0.77,74.3,24.51,0,1.53,0,0,11.49,0,0,18.38,0.77,0.77,0.77,0
120,0,0,0,0,1.96,1.96,1.96,80.35,0,0,0,9.8,0,0,1.96,1.96,0,0,11.76,0,9.8,0,0,0,23.52,0,39.2,11.76,0,1.96,0,0,11.76,0,0,5.88,0,0,0,0
