stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,heart,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,52.71,1027.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0
  5-6,24.52,429.07,0,0,0,0,0,0,0,0,0,0,0,55.17,6.13,6.13,30.65,0,0,0,0,0,0
  7-9,7.89,0,23.66,0,5.26,0,0,0,0,0,0,0,0,44.69,15.77,273.39,0,2.63,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,0,0,0,0,0,0,0,0,15.73,15.73,188.82,0,0,0,9.44,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,55,0,9,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0.82,0,0.82
 36-46,0,0,0,0,2.42,0.81,0,0,0.81,0.81,0.81,0,0,20.14,0,0,0,0,0,0,0,4.03,0
 48-58,0,0,0,0,3.44,0,1.15,0,0,0,1.72,0,0,8.61,0,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,5.89,0,0.98,0,0,0,0.98,0,0,7.85,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,0,0,0,0.98,0.98,0,4.91,0,0,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,1.06,1.06,0,0,1.06,0,0,3.19,0,0,2.12,0,0,0,0,0,6.37,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0.77,1.53,0,0,0,0,0,1.53,0,0,0.77,0,0,0,0,0,3.06,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0
