stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0.82,0.82,0,0.82,0,0,0,0,0,0,0,0,0,6.57,1.64,0,0,0,4.1,2.46,0,0,0,0,0
 36-46,0,0,0,0.81,5.64,0,0,0,0,0,0,0.81,4.83,0,0,1.61,14.5,0.81,0,0,0.81,0.81,4.83,0,0,0,0,1.61
 48-58,0,0,0,0,11.48,0,0,1.15,0,0,0,1.15,10.33,0,0.57,0.57,20.66,1.72,0.57,0,0,0.57,4.59,0,0.57,0,0,1.15
 60-70,0,0,0,0.98,54.97,0,0.98,2.94,0.98,0,0,0,17.67,0,1.96,0.98,51.04,0.98,1.96,0,0,5.89,12.76,0,0,0,0,1.96
 72-82,0,0,0,0.98,124.67,0,0,7.85,1.96,0.98,0.98,3.93,34.36,0,0.98,0.98,81.48,2.94,1.96,0.98,0,12.76,12.76,0,0.98,0,0.98,0
 84-94,0,1.06,0,10.62,89.21,0,0,12.74,4.25,0,0,2.12,20.18,1.06,0,1.06,49.92,6.37,1.06,0,0,35.05,7.43,0,1.06,0,0,1.06
 96-106,0,0,0,12.02,112.56,1.09,0,21.86,2.19,0,0,1.09,16.39,1.09,1.09,0,51.36,5.46,3.28,1.09,1.09,24.04,3.28,1.09,0,0,0,0
108-118,0,0,0,16.85,119.49,0,1.53,16.09,10.72,0,0,12.26,15.32,0.77,1.53,0.77,41.36,5.36,3.83,0,0,29.87,3.06,0,0,0.77,0,0.77
120,0,0,1.96,31.36,97.99,0,0,15.68,3.92,0,0,3.92,11.76,0,1.96,0,62.71,3.92,3.92,0,1.96,21.56,1.96,0,0,1.96,0,0
