stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,periderm,slow.muscle,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,1.61,0
 48-58,0,0,0,1.15,0,0,0.57,0,0,0,0,0.57,0,0,33.85,0.57,0,0.57,0
 60-70,0,0,0,1.96,0,0,0,0,0,0,0,0.98,0,0,81.47,0,0,0.98,0
 72-82,0,0.98,0.98,14.72,0,0,2.94,0.98,1.96,0,0,2.94,0.98,0.98,187.5,0.98,0,1.96,0
 84-94,0,0,2.12,14.87,0,0,2.12,0,0,0,0,3.19,1.06,0,109.39,0,0,1.06,0
 96-106,1.09,3.28,1.09,21.86,1.09,0,3.28,0,0,0,0,5.46,1.09,0,121.31,2.19,0,2.19,0
108-118,0,2.3,0,24.51,0,0.77,2.3,0,0,0.77,0.77,4.6,0,0.77,154.72,0.77,0,0,0.77
120,0,0,3.92,27.44,0,0,5.88,0,1.96,0,0,3.92,0,0,233.21,1.96,0,0,0
