stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,94.41,12.59,0,0,18.88,0,0,0,0,0
 14-21,1,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,1,0,1,0,101,25,9,115,1,0,1,0,0
 24-34,0,2.46,0.82,0,4.1,0,0,0,0,0.82,0,0,0.82,8.21,0.82,0,0.82,4.1,0.82,0,0.82,31.19,0,2.46,0.82,0,409.61,0,0,17.24,3.28,0,0.82,0,0
 36-46,0,0,0,0,4.03,0,1.61,0.81,0.81,0,1.61,0,0,4.03,0.81,0,0.81,4.03,0.81,0,0.81,27.39,0,0,0.81,0,411.7,0,0,0,7.25,0,1.61,0,0
 48-58,0,2.3,0,0,7.46,0,1.15,0,0.57,0,0.57,0,0,2.3,2.3,0.57,0,7.46,1.72,0,1.15,25.82,0,0.57,1.15,0,254.2,0,0,0,5.16,0,2.3,0,0
 60-70,0,6.87,0,0,8.83,0,2.94,0.98,2.94,0,0,0,0,2.94,0,0,0,15.7,1.96,0,0,17.67,0,0,0,0,305.25,0,0,0,7.85,0,0,0,0
 72-82,0,12.76,0,0,7.85,0,6.87,0,1.96,0,0,0,0.98,7.85,0.98,0,0,24.54,0,0,1.96,14.72,0,0,5.89,0,504.57,0,0,0,0.98,0.98,0.98,0,0
 84-94,0,15.93,1.06,0,4.25,1.06,16.99,1.06,2.12,1.06,1.06,1.06,1.06,13.81,3.19,0,0,11.68,7.43,0,1.06,16.99,0,5.31,2.12,0,1210.72,0,0,0,0,1.06,2.12,0,0
 96-106,0,48.09,2.19,1.09,8.74,0,33.88,1.09,3.28,4.37,0,0,0,24.04,4.37,1.09,0,12.02,17.49,1.09,0,24.04,1.09,10.93,4.37,0,1379.17,0,1.09,0,1.09,0,1.09,1.09,0
108-118,0,55.92,0.77,0,6.89,0,69.7,0.77,1.53,6.13,0,0,1.53,25.28,3.06,1.53,0,13.02,23.74,1.53,0.77,20.68,0,2.3,4.6,0,1305.97,0,0,0,0.77,4.6,0.77,1.53,0
120,0,45.08,0,0,3.92,0,47.03,0,1.96,5.88,0,0,0,11.76,3.92,1.96,0,11.76,9.8,0,0,23.52,0,1.96,1.96,0,740.8,0,0,0,0,0,1.96,0,1.96
