stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,79.07,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,13.14,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,18.4,23.66,0,0,23.66,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,13,219,0,0,2,22,0,0,3,0,0,1,0,0,0,0,1,0,1,3,0,0,0,0,0,0,13,0,0,0
 24-34,0,0,4.1,124.77,0,0,0.82,112.46,0,0,1.64,0,0,4.1,0,0,0,2.46,0.82,0,0,6.57,0,1.64,0,0,0,0.82,5.75,0,0,0
 36-46,0,0,4.03,10.47,0,0,2.42,70.09,0,0,2.42,0,0,0,0,0,0,2.42,0.81,0,0,12.89,0,0,0,0,0,0.81,3.22,0,0,0
 48-58,0,0,4.59,7.46,0,0,2.3,71.73,0.57,1.72,8.03,0,0,2.3,0,0,0,2.87,0.57,0,0.57,6.31,0,0,0,0,0,0.57,2.87,0,0,0
 60-70,0.98,0,0,3.93,0,0,2.94,50.06,0.98,0.98,17.67,0,0,0.98,0,4.91,0,6.87,0,0,0.98,3.93,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,1.96,0,0,2.94,34.36,0,2.94,18.65,0,0,0,0,0.98,0,26.5,0,0,0,11.78,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,1.06,3.19,46.73,0,2.12,24.43,0,0,1.06,0,1.06,1.06,16.99,0,0,0,4.25,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,2.19,1.09,0,1.09,49.18,0,4.37,9.84,0,1.09,0,0,1.09,0,31.69,0,0,0,10.93,0,0,1.09,0,1.09,0,0,0,8.74,0
108-118,0,0,0,0,0,0,3.83,49.79,0.77,5.36,3.83,0,0,0.77,0,0,0.77,37.53,0,0.77,0,9.19,0,0.77,0.77,0,0,0,0,0.77,3.83,0
120,0,0,0,3.92,7.84,0,1.96,25.48,0,5.88,0,0,0,0,1.96,0,0,43.12,0,0,0,5.88,0,0,1.96,0,0,0,1.96,0,1.96,0
