stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,1.61,0,0,0,0,3.22,0,0,0,0,0,0
 48-58,0,2.3,0,0,3.44,0,0.57,0,0.57,0.57,0,0,0,0.57,0,0,0,0,2.3,10.9,0,0,9.75,0,0.57,0,0,148.04,0,0,0,0,0,0.57
 60-70,0,15.7,0,0,10.8,0,3.93,0,2.94,1.96,0,0,0.98,1.96,0,0.98,0,0,1.96,6.87,0,0.98,9.82,0,0,0,0,549.65,0.98,3.93,0.98,0,0,0
 72-82,0,112.89,1.96,0,25.52,0,24.54,0.98,8.83,0,0,0,0.98,14.72,0.98,0,0,0,9.82,31.41,0,2.94,60.86,1.96,0,0.98,0.98,1196.65,0,4.91,0.98,0,0.98,0.98
 84-94,0,294.18,1.06,1.06,21.24,0,74.34,0,5.31,5.31,0,0,3.19,54.16,0,0,2.12,0,12.74,38.23,1.06,3.19,31.86,0,0,0,0,3811.65,1.06,2.12,1.06,2.12,0,0
 96-106,0,416.37,8.74,1.09,38.25,1.09,60.11,1.09,17.49,3.28,0,0,2.19,49.18,0,3.28,3.28,1.09,21.86,61.2,0,3.28,83.06,0,1.09,6.56,1.09,3360.5,0,2.19,4.37,6.56,3.28,4.37
108-118,0,576.77,3.83,2.3,19.92,0,109.53,0.77,7.66,6.89,0,1.53,2.3,79.66,0.77,4.6,4.6,0,19.15,67.4,0,3.83,51.32,0,0.77,0,0.77,3243.85,0,0.77,2.3,2.3,1.53,1.53
120,0,354.72,1.96,0,11.76,0,58.79,0,1.96,0,0,0,1.96,23.52,0,0,1.96,0,5.88,33.32,0,0,29.4,0,1.96,1.96,0,1501.2,0,0,0,0,0,0
