stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,220.67,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,15.77,0,0,21.03,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,131.44,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,25.18,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,10,0,5,0,2,0,0,0,0,1,0,0,0,1,3,1,0,2,69,1,0,0,2,0,1,0,11,8,26,0,0,1,0,0
 24-34,0,0,0,0,3.28,0,4.93,0,1.64,0,0,0,0,1.64,0,0,0,0,6.57,0,0,4.93,86.19,0.82,0,0.82,0,0,0,0,0,2.46,23.8,0,0,0.82,0,0.82
 36-46,0,0,0,0,1.61,0,18.53,0,4.83,0,0,0.81,0,0,0,0,0,0,9.67,0,0.81,4.83,82.98,0,0,0,0,0,0.81,0,0,0,24.98,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,25.82,0,5.16,0,0,0,0,0,0,0,0,0,8.61,0,0.57,2.87,50.49,0,0,0,0,0,0,0,0,0,10.33,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,29.45,0,0,0,0,0,0.98,0,0.98,0,0,0,6.87,0,0,0.98,43.19,0,0.98,0,0,0.98,0,0,0,0,7.85,0,0,1.96,0.98,0
 72-82,0,0,0,0,2.94,1.96,11.78,0.98,4.91,0,0,0,0,0,0,0,0,0,14.72,0,0.98,0.98,25.52,0,0,0.98,0,0,0.98,0,0,0,0.98,0,0,0.98,0,0
 84-94,0,0,0,0,0,2.12,14.87,1.06,5.31,1.06,0,0,2.12,1.06,0,0,0,0,3.19,0,1.06,1.06,15.93,0,0,1.06,0,0,0,0,0,0,1.06,1.06,0,2.12,0,0
 96-106,0,0,1.09,0,1.09,0,7.65,1.09,3.28,2.19,0,0,0,0,1.09,1.09,0,0,4.37,0,1.09,1.09,12.02,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,3.06,0.77,7.66,0,2.3,0,0,0,0.77,0,0.77,0,0.77,0,4.6,0,0,2.3,12.26,0,0,0.77,0,0,0.77,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,1.96,0,13.72,0,0,0,0,0,1.96,0,0,0,0,0,7.84,0,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0,1.96
