stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,2,61,1,0,0,0,0,0,1,30,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,3,0,0,19
 24-34,0,0.82,0.82,36.94,2.46,0,0.82,1.64,0,0,2.46,68.13,1.64,0,0,0,0,0.82,0,0,19.7,0,0,0.82,0,0,0.82,0.82,0,4.1,0,34.48
 36-46,0,0,0,0.81,4.83,0,0,2.42,0,0,0,79.76,0.81,0,0,0,0,0,0,0.81,28.2,0.81,0,0,0,0,0,0.81,0,4.83,0,20.14
 48-58,0,0,0,1.15,9.75,0,0,0,0,1.15,0,89.51,0,0,0,0,0.57,2.3,0,0,21.8,0,0,0,0,0,0.57,0,0,5.74,0,14.92
 60-70,0,0,0,2.94,16.69,0,0,0,0,0,0,106,0.98,0,0,0,0,1.96,0,0,39.26,0,0,0,0,0.98,0,0,0,3.93,0,12.76
 72-82,0,0,2.94,6.87,16.69,1.96,1.96,3.93,1.96,0,0,191.42,0,0,0,0,0,2.94,0.98,0,21.6,0,0.98,0,0,0,0,0,0,4.91,0,26.5
 84-94,0,0,3.19,6.37,6.37,0,0,2.12,0,1.06,0,200.73,0,1.06,0,0,0,1.06,1.06,0,5.31,0,0,0,0,0,1.06,0,0,0,0,22.3
 96-106,0,0,8.74,10.93,8.74,0,0,1.09,3.28,0,0,316.93,1.09,0,1.09,2.19,0,5.46,1.09,0,19.67,0,0,0,0,0,1.09,1.09,0,2.19,0,45.9
108-118,0,0,4.6,4.6,5.36,0.77,0,2.3,4.6,0,0,238.98,0,0,0,0,0,2.3,0,0,10.72,0,0,0,0,0,2.3,0.77,0,1.53,0.77,27.57
120,0,0,3.92,13.72,3.92,0,1.96,0,0,0,0,262.61,0,0,0,0,0,0,0,0,13.72,1.96,0,0,0,0,0,0,0,0,0,33.32
