stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,pgc,pronephros,spinal.cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,3,0,1,4,10
 24-34,0,0,0.82,0,0,0,0,5.75,0,0,0.82,0,0,2.46,0.82,0,0,0,1.64,5.75
 36-46,0,0,0,0,1.61,0,0,1.61,0,0,0.81,0,0.81,1.61,0.81,2.42,0,0,0,8.86
 48-58,0,0,0.57,0,2.87,0,0,5.16,0,0,0,0,0,3.44,2.3,0,0,0,0,1.15
 60-70,0,0,0,0.98,0,0,0.98,1.96,0,0,0.98,0.98,0,2.94,1.96,0.98,0,0,0,4.91
 72-82,0,0,0,0,0,0.98,0,3.93,0,0,1.96,0,0.98,0,0.98,0,0,0,0,4.91
 84-94,0,0,0,0,0,0,0,1.06,1.06,0,0,0,0,2.12,1.06,3.19,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,0,0,0,2.19,1.09,0,3.28,0,4.37,1.09,0,0,1.09
108-118,0,0,0,0,0,0,0,1.53,0,0,0.77,0,0,1.53,2.3,2.3,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,3.92,3.92,0,0,0,0
